"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
1669	39025	0	97276	106251	0	244676	0	0	10031	0	168504	0	168		27087	21411	10501	146569	168316	831	20	5197	10031	10031	26881	27726	3523	1243	54258	20777	27664	0	255	32285	48696	0	0	48441	0	0		0		9040		0		0	true							
1856	1405	0	1921	4085	0	7614	0	0	0	0	30904	0	4347		6145	2352	0	5693	26549	0	8	0	0	0	7056	10842	241	41	17898	5009	3958	0	0	12035	8967	0	0	8967	0	0		0		0		0		0	false							
2161	28154	0	62429	83256	0	191256	0	0	0	0	130880	0	1620		9460	66305	4573	128827	129260	0	0	4573	0	0	9331	7161	751	238	11838	833	11156	1951	5000	8021	18940	63678	0	11989	0	0		0		54757		0		54747	true							
2732	47721	0	22719	130523	0	184769	0	0	0	0	400122	4750	32532		27683	119887	9253	162050	362840	0	0	3210	0	0	22940	65122	1857	421	88010	45449	96725	0	0	62657	142174	24518	0	142174	0	0		0		0		0		0	true							
2750	14823	0	9505	6809	0	21234	0	0	0	0	38662	0	8574		8594	790	2251	11729	30088	0	0	1325	0	0	6965	9396	1141	354	15451	2463	2730	0	0	9262	5193	0	0	5193	0	0		0		0		0		0	true							
3252	19203	0	175139	67888	0	222178	0	0	245	0	107181	0	40123		11336	23808	5730	47039	65074	0	1984	0	245	245	11223	15325	4154	246	26548	19243	12893	735	350	19613	33221	8566	0	32136	987	0		0		7434		0		7434	false							
3458	5084	0	3822	12273	0	20281	0	0	1459	0	51638	0	4530		18370	5771	1425	16459	47108	0	0	492	1459	1459	6888	15899	9914	354	22339	1607	3599	2234	288	14685	7728	1459	0	5205	0	0		0		0		0		0	true							
3720	55952	0	45388	104354	0	213132	0	0	0	0	158593	0	11806		23327	22550	5978	167744	146787	0	0	2293	0	0	9861	37987	497	0	47818	9481	22265	0	0	25018	31746	0	0	31746	0	0		0		0		0		0	true							
3971	116783	0	7006	159475	0	288145	0	0	5429	0	605621	0	8586		111394	206609	16404	281139	594418	0	2617	7090	5429	5429	56617	129827	30896	2618	186444	15599	37991	8681	0	108564	62271	5702	0	53590	347	0		0		0		0		0	true							
4231	21831	0	34852	38672	0	79952	0	0	0	0	66514	0	5205		12083	11651	10838	45100	61309	0	0	6945	0	0	3920	14300	5426	1541	18220	1151	5869	358	468	13103	7846	0	0	7020	0	0		0		0		0		0	true							
5069	25640	0	0	36322	0	37103	0	0	98752	0	245252	4750	1477		35776	60883	994	37103	225491	0	13534	635	98752	71553	18289	39455	31589	789	57744	25275	32699	9222	1410	54346	68606	0	0	57974	697	0		0		0		0		0	false							
5135	30792	0	65376	106227	0	197896	0	0	0	0	321358	0	14895		54599	58362	22116	132520	306463	0	0	15082	0	0	46419	99124	3051	0	145543	27763	54549	1298	0	93995	83610	0	0	82312	0	0		0		0		0		0	true							
5210	339179	39	100650	996759	0	1174923	0	0	69071	0	1373157	0	38391		274503	553509	58137	1072500	1333225	1734	1541	20064	69071	69071	157469	212583	30431	3931	298525	27255	45557	1641	1602	129911	76055	88446	0	72812	0	0		0		76628		0		76624	true							
5461	60735	0	10950	338907	0	338907	0	0	0	0	354069	0	27654		9114	205411	2141	327957	326415	0	0	512	0	0	19484	14271	761	17	33755	23589	29800	0	0	25420	53389	142978	0	53389	4968	0		0		142978		0		142978	true							
5751	15196	0	5801	41745	0	74559	0	0	41725	0	199958	0	44481		15189	91228	5609	68758	148951	0	6526	2317	40573	744	10297	16258	6696	3210	26555	3574	11471	19846	22182	21272	57073	15052	1152	15045	4878	0		0		14179		0		14179	true							
6039	48367	0	25708	253113	0	254648	0	0	0	0	267216	0	1253		48365	56678	5957	228940	265963	0	0	0	0	0	35989	73583	2703	1491	109572	17765	29800	500	341	65401	48406	0	0	47565	0	0		0		0		0		0	true							
6329	143668	0	29491	707898	0	881562	0	0	311622	0	1104020	0	116051		239665	408718	10563	849843	981256	2228	6713	2139	311622	93621	99402	218764	86258	5531	318166	45561	92688	2332	1098	170289	141679	543407	0	138249	0	0		0		0		0		0	true	155863	153172	0	408718	143668	0	
7009	0	62	0	50903	0	50903	0	0	0	0	1530575	0	0		0	1530575	1	50841	1530575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214667		1315908		0		0		0	false							
7045	36931	0	119387	36684	0	191919	0	0	0	0	113177	0	5603		19606	31712	7394	72532	107574	0	0	1186	0	0	16280	19358	1010	236	35129	4558	3093	0	0	17277	7651	0	0	7651	0	0		0		0		0		0	true							
7072	87852	2	2832	79536	0	106098	0	0	20372	0	304351	0	17891		39938	76299	14155	103264	286225	0	235	4006	6294	6294	32736	45708	7394	830	78444	22751	30140	642	0	46730	53533	0	14078	52891	6222	0		0		0		0		0	true							
7456	28624	0	17031	25562	0	52244	0	0	0	0	70634	0	11532		16070	0	1866	35213	59102	0	0	108	0	0	11436	14777	2192	86	26213	5914	7605	0	0	12421	13519	0	0	13519	0	0		0		0		0		0	true							
7634	11135	0	1482	16505	0	21181	0	0	0	0	56641	0	172		9750	1894	6175	19699	56469	0	0	4178	0	0	4699	17423	5283	281	22122	2455	9182	4290	0	17935	15927	0	0	11637	0	0		0		0		0		0	false							
8462	2113	0	5923	32173	0	78304	0	0	0	0	84099	0	16628		9457	6821	3549	72129	67471	252	0	1945	0	0	10756	11865	1739	0	22085	11046	39759	0	0	14903	50805	0	0	50805	0	0		0		0		0		0	true							
8631	16080	0	978	21981	0	27356	0	0	0	0	41858	0	2085		5695	4645	2102	26378	39773	0	0	1146	0	0	8133	2815	445	219	10948	7256	2266	0	0	5916	9522	0	0	9522	0	0		0		0		0		0	true							
9357	1499	0	746	168040	0	179193	0	0	2	0	221445	0	0		858	213681	1650	178447	221445	0	0	305	2	2	484	595	608	0	1079	4311	267	0	0	829	4578	9551	0	4578	0	0		0		9551		0		9551	true							
9553	23407	0	20593	26172	0	60803	0	0	4109	0	94506	0	5285		19501	9599	7011	40210	88457	0	764	0	4109	249	12375	28340	2866	2972	40715	5671	8691	584	0	27052	14946	416	0	14362	0	0		0		0		0		0	true							
9807	607713	0	53157	153645	0	249324	0	0	0	0	2067246	0	571352		72842	876078	88530	196167	1495894	0	0	616	0	0	60063	131087	14220	729	191150	298920	77143	1293	0	133257	377356	20471	0	376063	9567	0		0		0		0		0	true	12813	18703	527585	118925	324305	251351	
9955	11446	48	10258	109407	0	131976	0	0	0	0	81055	0	22154		4228	59279	542	120679	58654	991	247	0	0	0	1861	4021	1202	68	5882	500	2678	0	0	2924	3178	24480	0	3178	0	0		0		20517		0		0	true							
10250	0	0	15171	158091	0	354015	0	0	249	0	301664	0	13759		65147	124492	29411	336370	287656	2474	249	13485	249	0	48118	65381	19315	1500	113499	16328	20240	6290	0	69167	42858	71284	0	36568	2275	0		0		43619		0		43619	true							
10849	93973	0	4718	7246	0	17106	0	0	0	0	266381	0	52546		34283	34672	9025	12381	213835	7	0	2210	0	0	27273	61716	6404	173	88989	5164	35760	1246	0	61282	42170	0	0	40924	17590	0		0		0		0		0	false							
11145	56778	0	56165	85892	0	168472	0	0	0	0	211144	0	20123		40680	49775	10678	112307	191021	0	0	6217	0	0	25455	38011	9210	905	63466	12176	17131	1412	292	32901	31011	0	0	29307	0	0		0		0		0		0	true							
11640	19858	0	52179	88855	0	210819	0	0	0	0	128986	0	4488		27790	14921	17822	158640	124498	0	0	11429	0	0	18226	27466	5480	5919	45533	14126	19788	1793	1407	29302	37114	0	0	33914	0	0		0		0		0		0	true							
11837	7409	0	41379	13750	0	60715	0	0	37500	0	97064	0	57		48004	19111	2959	19336	97007	0	0	1309	37500	17500	12263	22246	23842	690	34509	5007	5596	900	0	11037	11503	0	0	10603	0	0		0		0		0		0	true							
12030	47588	0	34999	193596	0	246211	0	0	0	0	331281	0	1413		90339	39223	19647	211212	329868	0	0	8687	0	0	55599	116173	11357	1048	171772	20939	38222	576	556	93838	60293	0	0	59161	0	0		0		0		0		0	false							
12142	36396	0	25130	89848	0	171789	0	0	0	0	129757	0	7297		19299	16368	5293	146518	122460	141	0	1914	0	0	15726	26965	1146	1	42691	11094	21758	303	0	24539	33155	0	0	32852	0	0		0		0		0		0	true							
12311	15714306	97	7266964	58576810	0	78148465	0	0	7863653	496	89254793	0	1486086		6063796	60394216	1260664	70857911	87759547	23493	8664	246310	7863653	7863653	5959798	4210207	265636	28323	10170005	1527712	1114749	38665	1181	4400168	2682307	6050205	0	2642461	0	0	0	0	0	12118574	5657021	0	0	5801155	true	9928899	14876555	35455487	22645122	307312	15397765	
12647	30604	0	2368	49115	0	56884	0	0	0	0	111267	0	7776		9290	50901	2645	54516	103491	0	0	0	0	0	4255	10116	3316	0	7384	5551	5806	716	0	8398	12073	0	0	6987	0	0		0		0		0		0	true							
12946	159058	0	319281	1239066	0	1242083	0	0	0	0	1468105	0	55629		146394	548140	45070	922802	1412433	0	43	23423	0	0	74154	221379	13178	3440	293867	137136	305293	6073	254	165756	448756	478283	0	442429	0	0		0		0		0		0	true							
13103	106347	0	161776	421133	0	926002	0	0	0	0	1579455	0	347932		197145	821044	65207	764129	1230687	97	836	29345	0	0	166649	168272	24531	13234	334921	157051	114850	6668	808	175541	279377	291925	0	271901	0	0		0		0		0		0	true	41590	286598	308578	173606	70233	26207	
13251	5083	0	659	12413	0	16005	0	0	0	0	44001	0	2940		7922	21545	707	15346	41061	0	0	0	0	0	2862	9700	1141	0	12535	2371	1297	0	0	5783	3668	0	0	3668	0	0		0		0		0		0	true							
13457	2926	0	385	7657	0	10381	0	0	0	0	80555	0	983		6698	8890	703	9996	41566	0	38006	147	0	0	15260	33348	7098	155	48608	2936	8173	1769	0	49163	12878	0	0	11109	37507	0		0		0		0		0	false							
14155	34136	0	11256	153742	0	155467	0	0	2190	0	224794	0	30190		39263	69173	8668	142723	193861	1488	743	4867	349	349	38467	58803	2042	239	97270	8831	13103	0	0	60289	21934	78923	0	21934	0	0		0		45661		0		45661	true							
14650	7633	0	6234	19067	0	27761	0	0	8037	0	82684	0	12432		5347	29260	1514	21527	67021	0	3231	960	8037	8037	10772	27287	668	77	26169	2762	3816	408	0	33457	6986	30308	0	6578	2488	0		0		4273		0		4273	true							
14753	19002	0	1258	20408	0	20408	0	0	0	0	30897	0	3299		6356	0	2265	19150	27598	0	0	875	0	0	2619	7138	155	24	9757	763	912	286	0	3579	1961	0	0	1675	0	0		0		0		0		0	false							
14865	141241	2	47694	529335	0	529335	0	0	0	0	248129	0	19492		19790	53359	15073	481639	228342	0	295	6259	0	0	28423	15570	3197	581	40178	4560	1197	0	0	27981	5757	110709	0	5757	0	0		0		0		0		0	true							
14977	5831	0	0	14551	0	17051	0	0	0	0	34263	0	0		5947	3249	3891	17051	34263	0	0	1989	0	0	7151	12244	622	26	19395	2374	2767	0	0	14096	5141	0	0	5141	0	0		0		0		0		0	false							
16551	73046	0	16130	161346	0	162119	0	0	0	0	223232	0	7567		68518	25514	29645	145989	215665	0	0	14637	0	0	15486	61719	18987	6706	77205	1324	15188	4083	1179	34380	21774	0	0	16512	0	0		0		0		0		0	true							
17110	0	0	0	0	0	0	0	0	0	0	124209	0	0		8637	0	7424	0	124209	0	0	6365	0	0	55236	0	0	0	55236	68973	0	0	0	46599	68973	0	0	68973	0	0		0		0		0		0	false							
17147	1272739	0	1844622	2260027	0	7861306	0	0	1235689	0	6998883	0	990954		1123006	3711920	128606	6016408	6007929	276	0	30928	1235689	919952	261224	1019677	320368	15004	1280901	86702	297284	12185	1781	493267	397952	648274	0	383985	3750	0		0		0		0		0	true	273462	1435411	1396413	1590295	919456	295012	
17259	17081	0	1820	17830	0	22527	0	0	0	0	41784	0	4989		9721	934	4230	20707	36795	0	0	2166	0	0	3519	12835	1993	329	16354	2342	2171	580	0	8955	5093	0	0	4513	0	0		0		0		0		0	false							
17950	115689	279	63671	192212	0	290723	0	0	0	0	449532	1368	97506		51906	166957	17083	226773	348933	0	1725	8456	0	0	41504	52675	6001	1146	94179	41822	22504	1234	0	49419	65560	58624	0	64326	0	0		0		45450		0		45450	true							
17978	44913	0	0	2368	0	44184	0	0	0	0	138177	0	898		43666	3158	25110	44184	134441	0	2838	11916	0	0	12481	53742	5387	1651	66223	4552	11284	1009	0	29595	16845	0	0	15836	0	0		0		0		0		0	true							
18050	114365	0	161100	300447	0	479447	0	0	0	0	437773	0	10668		58007	80933	11570	318347	427105	0	0	5252	0	0	50938	67443	6571	0	116311	51609	63656	2258	0	66945	117523	7213	0	114888	0	0		0		3905		0		3905	false							
18827	465174	0	225699	1071060	0	1071060	0	0	20287	0	1366902	0	219352		155373	423202	26594	844371	1146731	990	819	9481	20287	20287	59157	188623	20044	7645	247780	59873	134090	6037	3057	120096	203057	35886	0	193963	0	0		0		16949		0		16949	true							
18836	28426	37	4276	57962	0	73214	0	0	0	0	136129	0	22284		31397	35892	11852	68901	112992	0	853	4597	0	0	21595	30394	5090	2276	48996	9580	2877	0	0	27959	12457	9381	0	12173	0	0		0		2094		0		2094	true							
18854	82205	0	262991	777453	0	903440	0	0	371511	0	690738	0	14690		35192	378643	5348	640449	661261	0	14787	2310	371511	371511	43334	87398	5238	256	130732	19624	54571	19219	251	101034	93665	496872	0	74195	14787	0		0		0		0		0	true	74586	88505	115640	263002	74271	3196	
19356	9879	0	4963	43294	0	43834	0	0	19716	0	88051	0	1897		11189	16874	1328	31155	72853	7716	13301	458	0	0	13741	19086	1111	241	31930	3729	13390	5000	5000	22990	27119	2231	9716	17119	0	0		0		1239		0		1239	false							
19936	21733	0	52782	106791	0	223615	0	0	0	0	217438	0	17198		27325	106769	7512	170833	200240	0	0	3194	0	0	13076	35384	7384	1385	48460	6394	21206	508	3599	29903	31707	0	0	27599	0	0		0		0		0		0	true							
19972	92916	0	0	0	0	0	0	0	0	0	92916	0	0		0	0	0	0	92916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0		0		0	false							
20053	14026	0	3575	35007	0	50783	0	0	43974	0	145019	0	1083		55507	33076	9473	47208	143936	0	0	3580	43974	8244	11407	25861	44791	0	37268	2072	10336	3450	0	26552	15858	8244	0	12408	0	0		0		0		0		0	true							
20633	44718	0	25104	46562	0	144284	0	0	5000	0	159603	0	17890		28448	28897	9460	119180	141465	0	248	3806	5000	5000	18397	40553	2058	737	58950	10124	14119	0	0	33297	24243	26706	0	24243	0	0		0		24726		0		24726	true							
20857	46543	0	53654	211643	0	243928	0	0	0	0	358512	0	74690		42479	181506	15775	185625	283822	4649	0	7549	0	0	20461	52990	6075	836	73451	10922	34193	4654	332	37883	50101	0	0	45115	0	0		0		0		0		0	true							
21256	1380	0	2060	3412	0	5496	0	0	0	0	3302	0	320		288	541	1148	3436	2982	0	0	880	0	0	50	188	130	132	238	0	0	880	0	213	880	0	0	0	0	0		0		0		0		0	true							
21359	12606	0	2143	22419	0	31584	0	0	3661	0	46336	0	2685		4305	16793	3836	29441	43651	0	0	0	0	0	1619	4279	4031	277	3261	1500	3898	1335	0	5900	6733	0	3661	5398	0	0		0		0		0		0	true							
21658	29377	4	6922	18752	0	86223	0	0	0	0	105378	0	1474		38718	9308	14478	79297	103904	0	0	6076	0	0	20025	33957	3322	242	53956	3202	5615	330	0	18828	9147	0	0	8817	0	0		0		0		0		0	true							
22048	30558	0	21378	143724	0	143724	0	0	21126	0	149913	0	15787		22163	0	6323	121355	133886	991	240	3041	21126	21126	35821	32939	5174	8728	68760	10821	23134	2737	0	60500	36692	28567	0	33955	0	0		0		0		0		0	true							
22543	53219	26	26468	160111	0	205502	0	0	0	0	166169	0	4396		17493	51214	4337	177522	161525	1486	248	1714	0	0	21204	25475	3041	394	46679	3747	7086	789	0	32621	11622	48735	0	10833	0	0		0		28715		0		28715	true							
22552	14425	0	4676	27589	0	41739	0	0	11060	0	64880	0	5142		9696	9505	2030	37063	59738	0	0	0	10745	8320	4631	21107	3895	3373	25738	2037	5108	799	0	23310	7944	0	315	7145	0	0		0		0		0		0	true							
22730	146	0	33801	102029	0	133738	0	0	1	0	133051	0	21913		23498	53595	1516	99937	111138	0	0	0	1	0	18640	29317	2077	514	47547	13981	14780	0	0	27050	28761	0	0	28761	0	0		0		0		0		0	true							
23456	20716	0	17383	158801	0	158801	0	0	0	0	197071	0	16872		59233	35438	16328	141418	180199	0	0	6214	0	0	15832	72883	11397	1311	88715	7693	29698	2104	0	42189	39495	0	0	37391	0	0		0		0		0		0	true							
23504	1923279	0	236698	4045543	0	4597136	0	0	199965	0	7232875	0	1687843		275977	4229503	118667	4359958	5539755	480	5277	43468	199965	0	237830	308583	151788	106739	546413	114037	146442	14374	300	528963	275153	1482588	0	260479	0	0		0		1353002		0		1353002	true	636739	95508	1161915	2378564	645315	286127	
23643	27581	0	29930	72467	0	124999	0	0	6878	0	210955	0	32609		31738	30000	13011	95069	178346	0	0	7167	6251	5507	17474	48290	12777	791	65764	21778	48239	2794	1230	47595	74041	0	627	70017	0	0		0		0		0		0	true							
23755	65427	319	19593	60372	0	125408	0	0	6500	0	166740	92	12787		19148	40578	3226	105496	148649	0	5212	708	0	0	10180	28369	3558	1226	33218	3581	9113	4708	0	24185	17402	20206	6500	12694	5958	0		0		14132		0		14132	false							
24006	809243	3	60980	10408	0	78411	0	0	96603	0	1698284	0	51428		294522	243890	62878	17428	1644393	0	2463	26794	96603	96603	154484	289359	47527	561	443843	40542	97717	14961	0	197409	153220	0	0	138259	0	0		0		0		0		0	true							
24378	18575	0	0	11651	0	17539	0	0	0	0	45209	4	250		13265	1218	3757	17539	44955	0	0	1103	0	0	4271	12779	3854	821	17050	785	2576	332	0	8460	3693	0	0	3361	0	0		0		0		0		0	false							
24659	34273	0	2531	27431	0	51032	0	0	0	0	43331	0	498		4742	428	3251	48501	42833	0	0	1751	0	0	1470	4088	1355	100	3827	1619	0	0	0	2271	1619	0	0	535	0	0		0		0		0		0	true							
24949	49548	0	13575	138215	0	175604	0	0	0	0	288886	0	6639		74756	92976	12001	160296	282247	1733	0	2929	0	0	40239	66385	10355	318	106610	8412	17347	2636	670	42541	29065	19056	0	25759	0	0		0		16085		0		16085	true							
25357	20701	1	14646	64853	0	397978	0	0	0	0	143180	252	5072		28905	30065	10641	383331	137856	0	0	5974	0	0	22787	42550	4721	2386	65337	6330	13347	294	0	43539	19971	0	0	19676	0	0		0		0		0		0	true							
25647	45504	0	18	52477	0	57038	0	0	0	0	248380	0	9648		49999	35336	9075	57020	221306	0	17426	4534	0	0	36556	71860	11855	41	108416	15584	29688	1956	0	70313	47228	0	0	45272	0	0		0		0		0		0	false							
26765	60374	0	260477	1733723	7378	2018376	0	0	0	0	2255008	0	40019		54989	1133107	15436	1740754	2213734	9767	1255	13211	0	0	145394	197881	6446	1380	343275	275804	417711	7519	9393	296111	710427	679192	0	693515	0	0		0		559798		0		559798	true							
27070	117811	0	14787	179029	0	179029	0	0	35017	0	566708	0	28974		172555	118934	46517	163003	537524	1239	210	17809	30000	25000	69720	169238	34255	1272	235725	13166	35337	6644	331	101930	55478	31111	5017	48239	0	0		0		25771		0		25771	false							
27614	105293	0	28653	143020	0	246740	0	0	0	0	295320	0	34807		66220	57688	11800	218087	260513	0	0	5300	0	0	53797	51470	5767	1137	105011	8967	0	11201	0	45951	20168	0	0	8967	0	0		0		0		0		0	true							
27847	71012	0	58345	276495	0	276495	0	0	8029	0	507246	0	34542		118446	60699	38725	217455	454149	695	18555	21632	0	0	100047	181586	10322	819	281633	23559	54912	4291	0	174328	82762	45516	8029	78471	17760	0		0		11181		0		11181	true							
28013	905425	0	846731	2061784	0	2061784	0	0	75000	0	1969342	0	52516		296796	273682	46688	1215053	1916826	0	0	14316	75000	45000	282155	311471	15665	39321	593626	56855	81490	2232	1046	351816	141623	15138	0	138345	0	0		0		0		0		0	true	629391	440604	131280	92913	874647	2357	
28152	45240	0	8047	78714	0	78714	0	0	252	0	134281	0	9542		19810	44304	10905	70667	124489	0	250	5019	252	2	10967	19399	5130	380	16791	3995	4212	656	0	16064	8863	5563	0	8207	0	0		0		4563		0		4563	true							
28675	20603	0	16410	48516	0	49739	0	0	102955	0	204785	0	37362		118913	23815	6582	33329	167423	0	0	908	102955	102955	56921	74927	3245	416	131848	5375	8400	10579	504	16596	24858	0	0	13775	0	0		0		5009		0		0	true							
28732	27784	0	2126	51480	0	60152	0	0	0	0	84693	0	8982		9633	17515	3442	58026	75711	0	0	1462	0	0	7031	16791	584	0	23822	3650	11340	0	0	14771	14990	0	0	14990	0	0		0		0		0		0	true							
29476	3971	0	29028	17073	0	59156	0	0	14392	0	77616	0	11490		11104	5142	5290	29633	54678	495	11448	3459	10376	10376	10873	43032	491	577	53904	1390	12141	0	0	43869	13531	2938	4016	13531	11199	0		0		2461		0		2196	true							
29636	114480	0	130167	289764	0	694993	0	0	0	0	570508	0	41511		89424	196968	36894	564826	527509	0	1488	19795	0	0	59489	82081	15136	10629	141570	31890	50502	2724	6610	77911	91726	139157	0	82392	0	0		0		129578		0		129578	false							
29878	592144	0	0	54399	0	187521	0	0	0	0	1170457	0	0		199780	12180	87198	187521	1170457	0	0	39585	0	0	140074	248923	32001	12027	388997	43930	81789	5252	2138	233245	133109	0	0	125709	0	0		0		0		0		0	true							
30052	4701	0	0	13809	0	16210	0	0	0	0	24751	0	2678		2265	8189	43	16210	22073	0	0	0	0	0	2111	3425	417	0	5536	1385	4524	0	0	3688	5909	0	0	5909	0	0		0		0		0		0	true							
31134	25497	8006	7631	73496	0	89820	0	0	0	0	90962	200	442		12135	30458	5108	74183	90320	0	0	2129	0	0	6713	14453	3544	465	21166	2566	7009	0	256	13041	9831	0	0	9575	0	0		0		0		0		0	true							
31255	11398	0	227486	219927	0	401092	0	0	11698	0	726618	0	170264		11338	552961	3446	172119	555661	1487	693	2828	11698	11698	26944	42709	2596	300	69652	22831	62630	4250	0	61209	89711	239794	0	85460	0	0		0		0		0		0	false							
