"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
3458																																							3034	1828	16962	0	0	2283	0	2865	77864	71919	331	73250	0	658	500	0	4614	100	77864	0	0	4842	0	0	1101	0	12728	59191			0	50651	49993	-1429	107	0	0	500	4614	0	792	
3720																																							50542	6433	104531	0	0	4201	0	15215	421234	371725	3206	374931	0	1865	0	0	46303	2400	421234	0	0	36449	0	0	18600	0	104354	267371			-5522	202593	200728	-5624	225	0	0	0	46303	0	39359	
3971																																							49544	5720	202879	2552	9497	17863	26	31985	1072746	893766	12371	941637	0	12755	35500	0	131109	2	1072746	0	0	21830	0	0	118985	0	159853	733913			0	760938	748183	-9708	3599	0	0	0	131109	898	0	
4231																																							30439	788	70958	0	0	848	0	7178	168836	146467	644	147111	0	984	0	0	21725	500	168836	0	0	13013	0	0	12100	0	38672	107795			0	58619	57635	-3888	0	0	0	0	21725	0	990	
5069																																							60412	1425	5570	0	0	32896	0	9482	526240	282355	9305	291660	0	14086	0	0	234580	4500	526240	0	0	225674	0	0	4129	0	35832	246523			0	429440	415354	277	0	0	0	0	234580	1101	0	
5135																																							66866	6167	100518	0	1042	6702	308	20199	654806	519254	4343	534685	0	6434	11088	0	120121	651	654806	0	0	95341	0	0	24391	0	106227	413027			0	459438	453004	-262	0	0	0	0	120121	0	0	
5210																																							70276	32783	455317	2314	74428	34463	32	173529	3242501	2548080	38860	2867691	0	24353	260000	0	374810	4798	3242501	0	0	211026	0	0	191837	16455	570069	1978011			0	2341816	2317463	-32851	0	0	4372	16379	374810	936	64505	
5461																																							19531	18477	40090	0	33	11701	0	20502	788427	692977	7589	718024	0	6902	17458	0	70403	2059	788427	0	0	80707	0	0	4241	0	261001	431976			0	461683	454781	-16604	0	0	0	0	70403	0	223312	
5751																																							0	8368	103635	0	925	1798	0	10482	328545	274517	1993	292261	0	3027	14141	0	36284	600	328545	0	0	33420	0	0	8752	163	41921	232596			0	199991	196964	-6488	0	0	1610	0	36284	0	6210	
6039																																							71971	5865	52484	0	0	11547	0	8431	578924	521863	4920	526783	0	6382	0	0	52141	469	578924	0	0	21195	0	0	30568	0	176792	345071			0	403076	396694	-91	28955	0	0	0	52141	0	2977	
6329																																							246079	31404	168315	0	0	41651	300	65072	2177470	1985582	12941	1998523	0	29883	0	0	178947	2600	2177470	0	0	148777	0	0	42400	1915	489948	1495634			0	1652616	1622733	-14830	1	0	0	0	178947	0	0	
7009																																							1068145	500	374759	0	0	2139	0	15507	1721594	1581478	15982	1597460	0	0	0	0	124134	500	1721594	0	0	123781	0	0	552	0	50903	1530575			0	259624	259624	-699	0	0	0	0	124134	920	0	
7045																																							37387	3591	142800	0	0	1636	0	11816	324304	305097	1185	306282	0	1220	0	0	18022	100	324304	0	0	27183	0	0	2325	0	36682	268415			0	128020	126800	-11586	0	0	0	0	18022	0	274	
7072																																							1375	7313	41476	0	6406	12180	0	21281	472525	410449	5184	428633	0	3442	13000	0	43892	0	472525	0	0	42623	0	0	4060	1022	79536	330913			0	336591	333149	-2791	9575	0	0	0	43892	0	38748	
7456																																							561	2153	27138	0	0	703	0	5636	137785	122878	684	126338	0	1223	2725	0	11447	400	137785	0	0	6109	0	0	6600	0	25562	97316			0	102747	101524	-1662	0	0	51	0	11447	70	0	
7634																																							16312	534	11498	0	0	358	0	985	88886	77822	452	78274	0	1355	0	0	10612	200	88886	0	0	3622	0	0	8060	0	16505	61317			0	60554	59199	-1270	0	0	0	0	10612	0	0	
8462																																							918	4048	85596	0	0	482	0	1781	190524	162403	1618	164021	0	2020	0	0	26503	350	190524	0	0	31718	0	0	350	0	32173	130230			0	94634	92614	-5915	5085	0	0	0	26503	0	0	
8631																																							5569	2878	16306	0	0	2625	0	3943	76866	69213	854	70067	0	409	0	0	6799	500	76866	0	0	6208	0	0	800	0	22586	46627			0	43571	43162	-709	2383	0	0	0	6799	0	0	
9357																																							45730	9305	48209	1676	30256	2186	0	3670	519985	400638	8160	408798	0	3851	0	0	111187	500	519985	0	0	55038	0	0	56160	0	158496	242142			0	381000	377149	-511	920	0	0	0	111187	884	0	
9553																																							540	2990	33867	0	0	794	0	10631	237214	155309	1795	215653	0	1380	58549	0	21561	400	237214	0	0	24161	0	0	1700	0	26172	129137			0	144481	143101	-4700	13395	0	0	0	21561	0	31896	
9807																																							188883	17656	294059	0	0	21497	2800	164498	2719810	2316570	15190	2372480	0	30719	0	0	347330	20000	2719810	0	0	219154	0	0	112272	0	153645	2162925			0	1916884	1886165	-4096	0	0	0	40720	347330	1132	143120	
9955																																							78283	1964	49297	0	0	5298	0	4685	260612	213031	632	230522	0	1944	16859	0	30090	110	260612	0	0	28761	0	0	3023	0	35857	177174			0	112874	110930	-1804	0	10155	0	0	30090	0	0	
10250																																							7255	9453	183451	0	0	10175	0	6525	702497	655678	4053	659731	0	4460	0	0	42766	1500	702497	0	0	22850	0	0	38500	0	158091	497587			0	422379	417919	-20084	350	0	0	0	42766	0	67369	
10849																																							4472	1621	67191	0	694	5945	0	4676	315229	283487	1217	284704	0	3062	0	0	30525	16	315229	0	0	19299	0	0	15375	0	35362	248125			0	233692	230630	-4165	0	0	0	0	30525	0	0	
11145																																							26544	7681	120754	44	955	7492	0	19415	447157	379615	4268	403357	0	3457	19474	0	43800	1000	447157	0	0	28617	0	0	25000	0	85892	293723			0	254752	251295	-10817	12977	0	0	0	43800	0	0	
11640																																							12920	10042	107336	0	0	3519	0	24047	381935	339805	3701	343506	0	2571	0	0	38429	650	381935	0	0	4819	0	0	43945	0	88855	250950			0	226642	224071	-10985	0	0	0	0	38429	0	0	
11837																																							18509	1438	49552	0	0	896	0	2738	170933	157779	420	158199	0	1083	0	0	12734	314	170933	0	0	5177	0	0	11686	0	13750	144029			0	98883	97800	-4443	0	0	0	0	12734	0	0	
12030																																							97626	22681	74873	0	0	4208	680	57080	692430	577492	6624	584116	0	13938	0	0	108314	300	692430	0	0	107978	0	0	300	0	193596	383896			0	443873	429935	-264	5270	0	0	0	108314	0	77	
12142																																							7789	8403	70841	0	0	4245	165	14488	325097	301546	2795	304341	0	2217	0	0	20756	1250	325097	0	0	10790	0	0	24250	0	89848	211698			0	170452	168235	-15534	950	0	0	0	20756	0	49981	
12311	9146683	2184740	28329628	263276	5964211	1359358	9572	7209971	206645430	3784520	185428902	426374	2330777	12772608	975720	20790154	39999	206645430	184330	362032	3836332	2642276	780000	18359532	876036		0	134838880	132508103	-2225709	0	130764	21216528	1943	15965303	0	0	0			28329628							167403258					12772608					184330	362032						32649442	134753816							0	0	0	130764		1943		
12647																																							11957	2431	0	0	44	2960	0	6086	202545	168151	450	177451	0	1221	8850	0	25094	250	202545	0	0	7127	0	0	17717	0	111267	56884			0	117534	116313	0	0	0	0	0	25094	0	62754	
12946																																							34207	38267	464301	0	37132	66195	0	99481	2984470	2710188	25626	2735818	0	36425	4	0	248652	1	2984470	0	0	223799	0	0	95182	11330	559531	2150657			0	2265025	2228600	-70330	0	0	0	0	248652	4957	0	
13103																																							44296	26893	282534	980	17427	26321	0	60498	2992239	2505457	27013	2543760	4343	24177	11290	0	444136	500	2992239	0	0	422575	0	0	34019	5639	373983	2131474			0	2503415	2479238	-12958	0	0	0	0	448479	23555	24858	
13251																																							4738	1719	3293	0	470	1247	0	1835	68938	60007	218	60225	0	785	0	0	8713	25	68938	0	0	4867	0	0	3975	0	12413	47594			0	55850	55065	-154	571	0	0	0	8713	0	0	
13457																																							295	1469	1896	0	556	3320	0	1345	105587	90936	484	91420	0	1479	0	0	14167	50	105587	0	0	-387	0	0	14500	0	7657	83279			0	92492	91013	4	5693	0	0	0	14167	0	0	
14155																																							6359	10320	25826	0	0	6470	0	11524	430090	380260	2813	385573	0	4928	2500	0	44517	176	430090	0	0	44265	0	0	160	0	61427	318833			0	374519	369591	-84	0	0	0	0	44517	0	0	
14650																																							6660	3610	0	0	0	1278	0	2532	124128	110445	914	111359	0	1460	0	0	12769	200	124128	0	0	7574	0	0	4995	0	19061	91384			0	101209	99749	0	5245	0	0	0	12769	0	5054	
14753																																							6574	725	10037	0	0	88	0	1277	58968	51305	317	51622	0	607	0	0	7346	300	58968	0	0	5228	0	977	1277	0	20408	30897			0	31424	30817	-436	9029	0	0	0	7346	133	288	
14865																																							419	24392	197339	0	564	10030	0	28918	883540	777463	7552	788315	0	6796	0	0	95225	730	883540	0	0	86452	0	0	10532	0	202722	574741			0	624979	618183	-2489	0	0	3300	0	95225	0	3695	
14977																																							12031	355	1800	0	19	2113	0	1162	63240	51314	432	51746	0	671	0	0	11494	0	63240	0	0	11505	0	0	0	0	14617	36697			0	45340	44669	-11	1091	0	0	0	11494	0	0	
16551																																							11934	9111	54302	0	4381	9860	367	11262	462792	385351	1323	416674	0	4815	30000	0	46118	175	462792	0	0	29359	0	0	19825	908	101676	283675			0	344909	340094	-3241	0	0	0	0	46118	0	20573	
17110																																							33866	1865	0	0	0	8784	0	3938	182992	124209	22048	146257	0	279	0	0	36735	300	182992	0	0	29449	0	0	6986	0	0	124209			0	110966	110687	0	0	0	0	0	36735	21251	2601	
17147																																							223343	81567	1358130	0	738140	141924	177	704654	18580550	14860189	280619	16247434	0	195316	906868	0	2333116	10871	18580550	0	0	825321	179563	125	1684897	28783	2260027	12600162			0	13296759	13101443	-188098	0	0	85000	114758	2333116	0	2022826	
17259																																							1189	1530	14458	0	0	1302	0	2825	71675	64311	1647	67013	0	366	0	0	4662	769	71675	0	0	4224	0	0	769	0	17830	46481			0	50359	49993	-1100	113	0	1055	0	4662	0	265	
17950																																							9651	9101	392668	0	4436	7915	0	17024	805702	740255	4045	744300	0	5968	0	0	61402	725	805702	0	0	48690	0	0	32837	0	163223	577032			0	370704	364736	-20850	0	0	0	0	61402	171	0	
17978																																							20385	2771	0	0	0	5129	211	2273	316726	182361	889	183250	0	1495	0	0	133476	0	316726	0	0	133476	0	0	0	0	3439	178922			0	163353	161858	0	7180	0	0	0	133476	0	116919	
18050																																							56352	10576	329124	0	0	11427	0	22153	1034196	917220	5028	952248	0	6993	30000	0	81948	1214	1034196	0	0	87209	0	0	34671	346	300447	616773			0	611211	604218	-41146	0	0	0	0	81948	0	0	
18827																																							106466	32137	349514	4344	44629	40142	0	103861	2821168	2437962	24904	2535161	0	23603	72295	0	286007	693	2821168	0	0	130825	0	0	162569	0	474020	1963942			0	2161769	2138166	-8080	0	0	0	0	286007	1909	0	
18836																																							22080	2206	36842	0	0	5219	0	8848	232867	209343	2620	211963	0	1961	0	0	20904	180	232867	0	0	20246	0	0	1676	0	58671	150672			0	159633	157672	-1198	0	0	0	0	20904	0	0	
18854																																							196653	36374	57170	0	11012	21102	455	30894	1835335	1594178	10349	1604527	0	18222	0	0	230808	40	1835335	0	0	220312	0	0	14198	2541	315864	1278314			0	1497356	1479134	-3742	0	0	0	0	230808	0	0	
19356																																							1057	5396	13501	0	775	1282	257	5391	151019	131885	1318	139203	0	1631	6000	0	11816	2025	151019	0	0	4994	0	0	6200	0	21217	110668			0	122988	121357	-1403	2003	0	0	0	11816	0	0	
19936																																							118713	3367	109607	0	0	3918	0	12600	492927	441053	4015	450184	0	4201	5116	0	42743	420	492927	0	0	33871	0	0	14075	0	106791	334262			0	248344	244143	-5623	0	0	0	0	42743	0	579	
19972																																							24512	2259	0	0	0	364	0	7869	118840	92916	1451	94367	0	492	0	0	24473	0	118840	0	0	24473	0	0	0	0	168	92748			0	56801	56309	0	0	0	0	0	24473	1218	26309	
20053																																							4820	4202	4826	0	0	408	0	4100	229138	195802	648	203450	0	1786	7000	0	25688	150	229138	0	0	19675	0	0	6053	0	35007	160795			0	197031	195245	-190	15537	0	0	0	25688	0	0	
20633																																							6567	3927	71369	0	0	5367	457	13847	359460	303887	2532	320956	0	2735	14537	0	38504	1106	359460	0	0	39069	0	0	2816	0	46334	257553			0	259618	256883	-4487	378	0	0	0	38504	665	0	
20857																																							6349	3975	111531	0	5333	14512	0	10880	673134	602440	3078	627651	0	2253	21633	0	45483	200	673134	0	0	10839	0	0	45893	0	211644	390796			0	425380	423127	-11449	0	0	0	500	45483	74	97353	
21256																																							1430	308	2086	0	0	140	0	542	9742	8798	13	8811	0	153	0	0	931	105	9742	0	0	136	0	0	695	0	3392	5406			0	5389	5236	-5	0	0	0	0	931	0	0	
21359																																							16735	2175	21614	0	0	339	0	1319	84673	77921	314	78235	0	479	0	0	6438	550	84673	0	0	2833	0	0	4850	0	22279	55642			0	42729	42250	-1795	0	0	0	0	6438	0	241	
21658																																							3675	5133	38806	0	0	1491	0	6874	236642	191601	1637	215368	0	2440	22130	0	21274	100	236642	0	0	18898	0	0	4157	591	19013	172588			0	182258	179818	-1881	157	0	0	0	21274	97	0	
22048																																							5231	5601	46842	0	0	4289	130	10145	324259	293637	3515	297589	0	4329	437	0	26670	1000	324259	0	0	25861	0	0	6650	0	56324	237313			0	256350	252021	-6841	0	0	0	0	26670	0	0	
22543																																							70237	2772	1500	0	3551	22711	0	4073	409460	371671	2407	374078	0	2531	0	0	35382	602	409460	0	0	21241	0	0	13552	1580	127411	244260			0	293139	290608	-13	12331	0	0	0	35382	97	0	
22552																																							501	1565	12977	0	0	2202	0	3386	146285	106619	327	135583	0	1083	1062	0	10702	100	146285	0	0	2981	0	0	8900	0	27589	79030			0	124450	123367	-1279	0	0	27575	0	10702	78	2209	
22730																																							2366	5182	130813	0	0	2876	0	9760	289313	266789	2101	274514	0	1720	168	0	14799	250	289313	0	0	24420	0	0	300	0	91805	174984			0	139862	138142	-10171	174	0	0	5456	14799	0	0	
23456																																							1243	5857	74219	0	4186	6079	276	8062	393921	355872	1985	365129	0	3192	7272	0	28792	126	393921	0	0	35695	0	0	2512	182	39860	316012			0	293419	290227	-9541	3102	0	0	0	28792	0	488	
23504																																							1078845	74633	702261	0	157232	78674	0	598681	14196848	11830011	83212	12578474	119	93189	577840	0	1618255	1	14196848	87411	87411	676016	0	0	993700	13617	3567839	8262172			-13525	10870872	10777683	-37937	0	0	0	0	1618374	2623	625188	
23643																																							2550	2804	103134	0	0	2493	77	14268	366408	335954	1236	345190	0	2656	8000	0	21218	200	366408	0	0	35786	0	0	4800	0	73265	262689			0	239888	237232	-19568	3850	0	0	0	21218	0	0	
23755																																							13935	1727	48204	0	1148	6608	0	9031	325210	292148	2191	304185	0	1965	9846	0	21025	110	325210	0	0	25165	0	0	4615	0	63563	228585			0	209870	207905	-8865	582	0	0	0	21025	0	36070	
24006																																							110382	19061	231368	0	94305	24868	0	72313	2100952	1776695	19438	1811110	0	16307	6854	0	289842	0	2100952	8123	8123	185278	0	0	109346	0	211593	1565102			0	1345388	1329081	-4782	211451	0	0	0	289842	0	0	
24378																																							6076	604	2550	0	0	1469	0	1157	78179	62748	1058	69806	0	347	6000	0	8373	0	78179	0	0	8520	0	0	0	0	11651	51097			0	56458	56111	-147	1402	0	0	0	8373	0	8810	
24659																																							3338	1865	32214	0	929	679	0	1028	106791	94363	450	94813	0	598	0	0	11978	50	106791	0	0	3829	0	0	7950	0	27431	66932			0	53454	52856	149	0	0	0	0	11978	14	13868	
24949																																							50714	8014	77858	0	750	4123	0	16799	538923	464490	4384	477624	0	5392	8750	0	61299	1800	538923	0	0	26753	0	0	33223	0	105865	358625			0	272375	266983	-477	0	0	0	0	61299	0	113682	
25357																																							7062	8103	51629	0	0	5963	1394	11030	605378	541157	2256	543413	0	6228	0	0	61965	1957	605378	0	0	10934	546	0	49558	0	64853	476304			0	472242	466014	-484	36298	0	0	0	61965	0	17339	
25647																																							59043	3304	25250	0	0	6893	0	5087	372846	305418	2086	334504	0	3477	27000	0	38342	12	372846	0	0	8646	0	0	30829	0	52477	252941			0	276746	273269	-1145	0	0	0	0	38342	0	0	
26765																																							777039	38385	166483	0	3454	65372	3018	113218	4717776	4273384	50458	4323842	0	46691	0	0	393934	2360	4717776	0	0	101184	0	0	309537	494	1143029	3130355			0	3591838	3545147	-19147	0	0	0	0	393934	0	5166	
27070																																							3502	15426	166696	0	16468	16659	0	50974	974180	745737	4867	846720	0	7709	95750	0	127460	0	974180	0	0	139865	0	0	0	416	71926	673811			0	711748	704039	-12405	0	0	366	0	127460	0	0	
27614																																							13374	7621	254257	0	2654	7111	0	21203	574872	542061	3761	545822	0	1586	0	0	29050	1515	574872	0	0	46200	0	0	11139	0	143020	399041			0	270238	268652	-29804	0	0	0	0	29050	0	0	
27847																																							7832	12827	133613	0	0	12585	91	30906	889236	783741	6042	818783	0	7456	29000	0	70453	430	889236	0	0	80694	0	0	7982	0	151168	632573			0	698838	691382	-18653	0	0	0	0	70453	0	0	
28013																																							85652	11985	1300975	0	41169	46999	0	279002	5678566	4031126	28400	4941551	108	36120	877458	0	736907	0	5678566	18559	4567	300411	0	0	457499	0	772463	3258663			-12612	3920613	3884493	-8391	0	0	0	0	737015	1278	8454	
28152																																							10206	1654	26195	0	0	1161	0	6292	231558	212995	1808	214803	0	2296	0	0	16755	105	231558	0	0	7730	0	0	12500	1248	49876	163119			0	156917	154621	-3580	11291	0	0	0	16755	0	18890	
28675																																							552	2103	139801	0	420	1608	0	4709	309441	254524	672	281314	0	1347	26118	0	28127	0	309441	0	0	30385	0	0	0	0	12254	242270			0	161508	160161	-2258	0	0	0	0	28127	87	0	
28732																																							16408	4853	22673	0	0	2975	0	2877	167942	144845	1576	146421	0	1481	0	0	21521	250	167942	0	0	21938	0	0	307	0	51480	93365			0	108694	107213	-974	3905	0	0	0	21521	0	7038	
29476																																							4002	1974	14705	0	199	4917	18	6044	155960	136773	1159	137932	0	1702	0	0	18028	0	155960	0	0	12282	0	0	6069	0	13675	123098			-43	119347	117645	-280	6025	0	0	0	18028	0	431	
29636																																							162093	24340	173772	0	13167	28554	1014	65193	1640384	1265501	25607	1575754	0	8180	0	0	64630	1	1640384	0	0	13536	0	0	124806	118	294868	970633			0	817875	809695	-73713	0	0	0	284646	64630	698	361740	
29878																																							91253	7234	48113	0	0	32572	4552	25816	2145384	1357978	37057	1395035	0	17908	0	0	750349	0	2145384	0	0	756133	0	0	0	0	54399	1303579			0	1953752	1935844	-5784	0	0	0	0	750349	0	0	
30052																																							1434	1140	8116	0	3115	2003	0	521	51284	40962	557	41519	0	433	0	0	9765	1000	51284	0	0	768	0	0	8140	0	13809	27153			0	35388	34955	-143	0	0	0	0	9765	0	0	
31134																																							46221	3176	25026	0	0	4879	0	3359	222227	180782	2161	182943	0	1949	0	0	39284	200	222227	0	0	40420	0	0	250	0	49659	131123			0	141515	139566	-1586	0	0	0	0	39284	0	0	
31255																																							44174	9814	186016	0	933	6183	1900	32847	1254928	1127709	12768	1140477	0	9793	0	0	114451	2989	1254928	0	0	89593	0	0	31311	0	426444	701265			0	982854	973061	-9442	0	0	0	0	114451	0	0	
31657																																							0	2578	0	0	0	1392	0	6057	181674	153858	155	154013	0	1027	0	0	27661	60	181674	0	0	25391	0	0	2210	0	41627	112231			0	68751	67724	0	1370	0	0	0	27661	0	102553	
31826																																							36788	4220	36065	0	885	9637	83	13633	482083	432965	3232	436197	0	4950	0	0	45886	800	482083	0	0	46162	0	0	800	0	109894	323071			0	385722	380772	-1876	0	0	0	0	45886	0	0	
31835																																							13984	2089	43035	0	0	2266	24	18408	190672	160519	5197	165716	652	2317	0	0	24304	461	190672	0	0	7172	0	0	19550	0	83456	77063			0	104396	102079	-2879	5805	0	0	0	24956	772	2210	
32234																																							4046	14816	68339	0	4984	5213	0	24349	400297	385627	5232	400163	0	902	0	0	134	332	400297	0	0	5448	0	0	28061	0	33101	352526			0	122426	121524	-33707	0	0	9304	0	134	0	157026	
