"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
111942						CONF	CONF			
112163	8141	705	8490	0	0	CONF	CONF	0	213	
112332						CONF	CONF			
112510						CONF	CONF			
112556						CONF	CONF			
112837	0	0	0	0	0	CONF	CONF	0	0	
113003						CONF	CONF			
113030						CONF	CONF			
113441						CONF	CONF			
113601						CONF	CONF			
113740	36625	17782	47787	0	0	CONF	CONF	0	1525	
114149						CONF	CONF			
114260	10150	6141	11630	0	0	CONF	CONF	0	789	
114457						CONF	CONF			
114774	6476	389				CONF	CONF			
114840						CONF	CONF			
114859						CONF	CONF			
115146						CONF	CONF			
115575						CONF	CONF			
116358						CONF	CONF			
116554	4847	1682				CONF	CONF			
116741						CONF	CONF			
117038						CONF	CONF			
117074						CONF	CONF			
117458						CONF	CONF			
117775	0	0	0	0	0	CONF	CONF	0	0	
118156						CONF	CONF			
118660						CONF	CONF			
118736						CONF	CONF			
119153						CONF	CONF			
119779						CONF	CONF			
119872						CONF	CONF			
120476						CONF	CONF			
120542						CONF	CONF			
120609						CONF	CONF			
120953						CONF	CONF			
121642	65639	21160	72214	0	0	CONF	CONF	0	1414	
121651						CONF	CONF			
121914						CONF	CONF			
122153						CONF	CONF			
122546						CONF	CONF			
123075						CONF	CONF			
123374						CONF	CONF			
124344	11306	501				CONF	CONF			
124830						CONF	CONF			
125154						CONF	CONF			
125855	7287	752				CONF	CONF			
125873						CONF	CONF			
126012						CONF	CONF			
126049						CONF	CONF			
126375						CONF	CONF			
126553	31936	4747	30454	0	0	CONF	CONF	0	1126	
126834						CONF	CONF			
127055						CONF	CONF			
127224						CONF	CONF			
128258						CONF	CONF			
128904	9716	0	9241	0	0	CONF	CONF	0	-77	
129349						CONF	CONF			
129358	35917	8282				CONF	CONF			
129732	0	0	0	0	0	CONF	CONF	0	0	
129853						CONF	CONF			
129910	9532	2363				CONF	CONF			
130345						CONF	CONF			
130541	38389	2994	38130	0	0	CONF	CONF	0	1594	
131436						CONF	CONF			
131717	0	0	0	0	0	CONF	CONF	0	0	
131940						CONF	CONF			
132107	19364	1340				CONF	CONF			
132451						CONF	CONF			
132778						CONF	CONF			
132938						CONF	CONF			
133579	0	0	0	0	0	CONF	CONF	0	-75	
133850	17961	3533				CONF	CONF			
133971						CONF	CONF			
134156						CONF	CONF			
134437						CONF	CONF			
134455						CONF	CONF			
134848						CONF	CONF			
135836						CONF	CONF			
135854						CONF	CONF			
136048						CONF	CONF			
136338						CONF	CONF			
136655						CONF	CONF			
137205						CONF	CONF			
137447						CONF	CONF			
137456						CONF	CONF			
137559						CONF	CONF			
137643						CONF	CONF			
137652	293714	81792	308364	2155	644	CONF	CONF	407	17862	
137915	2807	401	3149	0	0	CONF	CONF	0	0	
138051						CONF	CONF			
138257						CONF	CONF			
138556						CONF	CONF			
139133						CONF	CONF			
139478						CONF	CONF			
139553						CONF	CONF			
139656	8609	217	8488	0	0	CONF	CONF	0	231	
139740						CONF	CONF			
139843	12708	3371	12647	0	0	CONF	CONF	0	598	
140157						CONF	CONF			
140362	0	0	0	0	0	CONF	CONF	0	0	
140634						CONF	CONF			
141350						CONF	CONF			
141556						CONF	CONF			
141677						CONF	CONF			
141958						CONF	CONF			
142049						CONF	CONF			
142179						CONF	CONF			
142955						CONF	CONF			
143372						CONF	CONF			
143662	179504	52978	166047	0	14439	CONF	CONF	200	7344	
143859						CONF	CONF			
143952						CONF	CONF			
144034	10271	3989				CONF	CONF			
144052						CONF	CONF			
144155						CONF	CONF			
144678						CONF	CONF			
144856						CONF	CONF			
144913						CONF	CONF			
145059						CONF	CONF			
145545						CONF	CONF			
145554						CONF	CONF			
145741						CONF	CONF			
145844						CONF	CONF			
146056						CONF	CONF			
146663						CONF	CONF			
147651						CONF	CONF			
147679						CONF	CONF			
147857						CONF	CONF			
147923						CONF	CONF			
148171	3636	303				CONF	CONF			
148238						CONF	CONF			
148340						CONF	CONF			
148470						CONF	CONF			
148715						CONF	CONF			
148920						CONF	CONF			
149150						CONF	CONF			
150035	174	471	0	645	0	CONF	CONF	0	21	
150044						CONF	CONF			
150727						CONF	CONF			
151957						CONF	CONF			
152057						CONF	CONF			
152253						CONF	CONF			
152440						CONF	CONF			
153054						CONF	CONF			
153353						CONF	CONF			
154154						CONF	CONF			
154770						CONF	CONF			
155759						CONF	CONF			
156457						CONF	CONF			
156970						CONF	CONF			
157155						CONF	CONF			
157379						CONF	CONF			
157650	0	0	0	0	0	CONF	CONF	0	0	
157744						CONF	CONF			
157856						CONF	CONF			
158376						CONF	CONF			
158741						CONF	CONF			
159636	20490	5094	29014	0	0	CONF	CONF	0	756	
159645						CONF	CONF			
159953						CONF	CONF			
159971						CONF	CONF			
160360						CONF	CONF			
160454						CONF	CONF			
160959	0	0	0	0	0	CONF	CONF	0	0	
161273						CONF	CONF			
161602	33115	7282				CONF	CONF			
162337						CONF	CONF			
163343						CONF	CONF			
163549	22007	1673	21615	0	0	CONF	CONF	0	748	
163857	15204	3433				CONF	CONF			
164153						CONF	CONF			
164331						CONF	CONF			
164377						CONF	CONF			
164957						CONF	CONF			
164975						CONF	CONF			
165628	165759	26504	169094	0	0	CONF	CONF	0	6904	
165758						CONF	CONF			
166111						CONF	CONF			
166531	16840	556				CONF	CONF			
166652	0	0	0	0	0	CONF	CONF	0	0	
167453						CONF	CONF			
167752						CONF	CONF			
168571						CONF	CONF			
169354						CONF	CONF			
169653	88834	19484	94143	0	120	CONF	CONF	465	2390	
169756						CONF	CONF			
170257						CONF	CONF			
170275						CONF	CONF			
170332	0	0	0	0	0	CONF	CONF	0	0	
171133						CONF	CONF			
171656						CONF	CONF			
171759						CONF	CONF			
171768						CONF	CONF			
172251						CONF	CONF			
172457						CONF	CONF			
