"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
176642																												
177135																												
177443																												
177500																												
177555																												
177751																												
177920																												
178150																												
178244																												
178356																												
178851																												
179148																												
179335																												
179700																												
180144																												
180845																												
181963																												
182951																												
183668																												
183770																												
183958		175	0	0	251	25	0																			248	60	
184656																												
184759																												
185251																												
185448																												
185859																												
186221																												
186717																												
186744		798	99	2	543	0	321																			620	139	
187648																												
187947																												
188056																												
188177																												
188430																												
188449																												
188720																												
188739																												
188917																												
189129																												
189950																												
190563																												
190648																												
190947																												
190956																												
191355																												
191935																												
192147																												
192558		876	0	0	0	413	8																			704	94	
192651																												
192857																												
193162																												
193537																												
193649																												
193809																												
194440																												
194570																												
194936																												
195111																												
195157																												
195456																												
196752																												
196800		732	0	0	154	0	0																			279	86	
197142																												
197254																												
197302																												
197478																												
197759																												
198073																												
198149																												
198251																												
198961																												
199137																												
199351																												
199436																												
199463																												
200435		416	0	0	978	0	150																			1688	72	
201254																												
201834																												
202514																												
202541																												
202907		1650	24	906	964	207	280																			2361	536	
203043																												
203052																												
203575																												
204004																												
204237																												
204826																												
205243																												
205346																												
205458																												
205542																												
206156																												
206174																												
206473																												
206772																												
206950																												
207041																												
207050																												
207452																												
207470																												
207555																												
207845		1687	0	0	349	68	16																			744	113	
207872																												
208057																												
208244		19152	1047	325	5982	1020	2391		0																	7116	2186	
208347																												
208440																												
208459																												
208570																												
208655																												
208972																												
209148																												
209362																												
209559																												
209858																												
210238																												
210256																												
210434		225006	26740	85849	63851	985058	37610		693068																	866851	43955	
211114																												
211271																												
211338																												
211851																												
212018																												
212344																												
212522		1450	30	1	539	79	2																			286	118	
212577																												
213471																												
213538																												
213912																												
213958																												
214106																												
214414																												
214722																												
214807		0	0	0	0	5000	0																			12000	1000	
215345																												
215653																												
215662																												
215710																												
216164																												
216922																												
217059																												
218131																												
218261																												
218878																												
219044																												
219651		675	0	0	40	0	156																			0	0	
219679																												
220059		167	251	0	93	0	2																			205	142	
220527																												
220844																												
220974																												
221775																												
222156																												
222558																												
222754																												
223322		279	0	0	290	135	4																			350	7	
223452																												
223751																												
223845																												
224954																												
225054																												
225157																												
225559																												
225942																												
226949																												
227151																												
227357																												
227656																												
227777																												
228000																												
228158																												
228279																												
228345																												
229070																												
229173																												
229342																												
229454																												
229801		526	0	0	0	148	0		0																	410	0	
229913																												
230423																												
230610																												
230759																												
231279																												
232847																												
232856																												
233031		100000	5000	2000	18000	6000	2000		0																	16000	10000	
233246																												
233358																												
233442																												
233527																												
233554																												
234355		774	37	0	373	253	52																			487	75	
234506																												
234739																												
234841																												
235174																												
235231																												
235446																												
235530																												
235558																												
235950																												
236153		1341	1718	0	195	24	29																			332	284	
236256																												
236603																												
236706		6021	23	0	1361	377	1671																			21717	25	
236957																												
237066																												
237619																												
237954																												
238139																												
238250																												
238737																												
239556		385	77	0	419	20	19																			932	85	
239659																												
240954																												
241009																												
241157																												
241559																												
242257																												
242444																												
242949																												
242958																												
242976																												
243375																												
243414																												
243955																												
244037																												
244149																												
244158																												
244251		1047	87	0	38	388	0																			317	66	
245016																												
245276		0	1724	109	1114	3	0																			1349	0	
245351																												
245557		82	3	0	263	24	53																			607	0	
246022																												
246134																												
246451																												
246657		261	89	0	42	547	11																			1282	0	
246947																												
246956																												
247140																												
247355																												
247476																												
247551																												
247908																												
248240																												
248352																												
248455		732	119	0	132	234	0																			207	37	
248633																												
248745																												
249416																												
249612																												
249658																												
250430																												
250476																												
250850																												
251558																												
251745																												
251978																												
252041		352	404	27	1260	23	0																			1165	16	
252452																												
253356		1386	60	0	96	270	20																			1044	1840	
253468																												
253646																												
253730																												
254317																												
254504																												
254849																												
255350																												
255547																												
255556																												
255574																												
255659																												
256058																												
256076																												
256179																												
256553		1027	18	0	8	155	1																			228	219	
257233																												
257345																												
257578																												
257653																												
257756																												
258306																												
258379																												
258539																												
258771																												
258874																												
259059																												
259330																												
259442																												
259956																												
260055		815	140	0	405	130	0																			1311	228	
260831																												
261146																												
261360																												
261940																												
262059																												
262237																												
262358																												
262741																												
262844																												
262956																												
263243																												
263627																												
264455																												
264772																												
265340																												
265407		1401	13	163	275	11	0																			383	163	
265452																												
265676																												
266244																												
266253																												
266655																												
266851																												
266945																												
267652																												
268006																												
268136																												
268677																												
268828																												
268976																												
269049																												
269058																												
269571																												
269759																												
270148																												
270353																												
270504																												
270531																												
270652																												
271136																												
271275																												
271341																												
271529																												
272030																												
272058																												
272151																												
272272		241	180	51	148	27	0																			188	297	
272302																												
273336		996	0	24	86	25	56																			252	4	
273550																												
273653																												
273662																												
273840																												
273859																												
274025																												
274052																												
274829																												
274856																												
275255																												
275358		159	18	0	199	8	0																			278	12	
275479																												
275657																												
276074																												
276159																												
276551																												
276579		2048	0	0	684	1383	0																			12559	244	
276645																												
276654																												
276850																												
276953																												
277240																												
277277																												
277736																												
277820																												
278256																												
278555		368	11	0	353	8	0																			591	104	
278733																												
278751																												
278818		427	0	0	178	15	0																			460	19	
279105																												
279842																												
279954																												
280110		44818	2538	773	16064	5373	8462		0																	67640	10933	
280138																												
280352																												
280558																												
282075																												
282226																												
282824																												
283438																												
283652																												
283737																												
283867																												
284154																												
284239																												
284556																												
284752																												
284958																												
285151																												
285348																												
285544																												
285553																												
285740		472	21	0	47	17	0																			0	33	
285852		530	0	4	742	125	0																			633	281	
285928																												
286251																												
286457																												
286840																												
287007																												
287342																												
287922																												
287959																												
288152																												
288376																												
288853																												
289056																												
289225																												
289515		1586	125	1	875	37	241																			1414	203	
289702		182	0	0	709	30	0																			943	0	
289739																												
289757																												
290249		3366	160	0	486	24	0																			528	119	
290838																												
290922																												
291059																												
291376																												
291611																												
291732																												
292234																												
292467																												
292850																												
293053																												
293352																												
293437																												
293651																												
293754																												
294023																												
294751																												
294779																												
294827																												
295011																												
295057																												
295646																												
296456																												
296474																												
296559																												
296755																												
297051																												
297761																												
298049																												
298218																												
298245																												
299868																												
300009		137	22	0	382	1	0																			485	130	
300063																												
300353																												
300933																												
300942																												
301574																												
301800																												
302030																												
302133																												
302553																												
302656																												
303653																												
303701																												
303747																												
303952																												
304173																												
304520																												
304575																												
304762																												
304913		2518	0	0	0	0	0																			0	0	
305059																												
305077																												
305237																												
305442																												
306056																												
306159																												
306337																												
306908																												
307062																												
307334																												
307361																												
307679																												
308256																												
308340																												
308836																												
309150																												
309655																												
309851																												
310754																												
310978																												
311050																												
311144																												
311256																												
311265																												
311603																												
311658																												
311845		4929	618	116	2924	29	0																			6290	185	
311939																												
312244																												
312356																												
313009																												
313157																												
313223																												
313577																												
314257																												
314444																												
315656																												
316840																												
316859																												
316934																												
317258																												
317342		6861	768	41	4007	134	132																			8506	663	
317379																												
318974																												
319047																												
319551																												
320034																												
320052																												
320070																												
320119		16	0	0	5	18	0																			3043	8	
321152																												
321255																												
321273																												
321330		72	12	0	43	0	151																			94	0	
321947																												
322449																												
322551																												
323204																												
323651																												
324153																												
324229																												
324256																												
324340																												
324854																												
324863																												
324975																												
325141																												
325459																												
325534																												
326054																												
326344																												
326858		2061	537	63	618	1	0																			2252	358	
326979																												
327220																												
327305																												
327435																												
327556																												
327855		192	0	0	0	4	213																			30	10	
328058																												
328357																												
328656																												
328777																												
329149																												
329345																												
329550																												
329952																												
330239																												
330248																												
330855																												
330949																												
331076																												
331375																												
331544																												
331713																												
332224																												
332671																												
332756																												
333034																												
333203																												
333650																												
333856																												
333940																												
334264																												
335346																												
336147																												
336361																												
336576																												
337340																												
338646		1960	25	0	457	0	12																			680	35	
338945																												
339072																												
339353																												
339456																												
339607																												
339773																												
339858		34030	14733	1225	4978	5215	0																			18406	8387	
340135																												
340144																												
340256																												
340443																												
340742																												
340751																												
341310																												
342054																												
342362																												
342410		2389	10	6	1925	212	0																			2809	197	
