"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
595430																																																																																						226197	10952	10952	9.8546%	11.3476%	10.7982%	215245	1993343	2184204	-11476	0			3.3476%			0				160128	2239938								0	0	0		0		110851	10.7982%	1	0	259503	55734	0	0	-12442	1006	0	-40		0	215245	0	0	215245	0	0	0	0	0	0	0	0	0	10952	0	55734	0			
595869			2818489	183423	183423	11.4538%	14.7547%	13.7945%	2635066	19102338	23006030	-69222	0			6.7547%						1376195	23409220								0	0	0		1662061	13.7945%	0	2969034	375696	1799	25695	-69222	0	0	0		0	2635066	0	0	2635066	0	0	0	0	0	0	0	0	0	183423	0	403190	0																																						0																	0				1																															
595944																																																																																				86458	0				9.2863%			8129		87538	-175	0						0	0	0	0	6352	87811	0	0.0000%	16900	0	2	16902	19.5494%	0	0	0	0	1		2050		1	0	8227	273	0	0	-175	0	0	0		0	8129	0	0	8129	0	0	0	0	0	0						273	0	0		
596062																																																																																						139311	11225	11225	9.6796%	15.5772%	14.3220%	128086	894329	1323253	-18706	0			7.5772%			0				90112	1334427								0	0	0		0		49148	14.3220%	1	0	120554	10404	770	0	-18706	0	0	0		0	128086	0	0	128086	0	0	0	0	0	0	0	0	0	11225	0	11174	0			
596156																																																																																						73804	6402	6402	10.2125%	13.5859%	12.4075%	67402	543238	659995	-3334	0			5.5859%			1				51402	659995								0	0	0		0		16000	12.4075%	1	0	64068	0	0	0	-3334	0	0	0		0	67402	0	0	67402	0	0	0	0	0	0	0	0	0	6402	0	0	0			
596277																																																																																						2109	207	207	8.0399%	12.7509%	11.4994%	1902	16540	23657	0	0			4.7509%			0				2041	23796								0	0	0		0		0	11.4994%	1	0	2041	0	0	139	0	0	0	0		0	1902	0	0	1902	0	0	0	0	0	0	0	0	0	207	0	139	0			
596455																																																																																						26119	2186	2186	8.8493%	14.9396%	13.6892%	23933	174831	270450	-2280	0			6.9396%			0				8433	270450								0	0	0		0		15500	13.6892%	1	0	21653	0	0	0	-1082	-1198	0	0		0	23933	0	0	23933	0	0	0	0	0	0	0	0	0	2186	0	0	0			
596978																																																																																				238402	0				15.2071%			36299		238697	-486	0						0	0	0	0	25679	238697	0	0.0000%	11136	0	0	11136	4.6711%	0	0	0	0	1		10620		1	0	35813	0	0	0	-451	0	0	-35		0	36299	0	0	36299	0	0	0	0	0	0						0	0	0		
597041																																																																																						16428	1030	1030	8.3812%	12.4542%	11.6734%	15398	131907	183720	-6454	0			4.4542%			0				-1300	187384								0	0	0		0		20362	11.6734%	1	0	12608	2972	692	0	-6454	0	0	0		0	15398	0	0	15398	0	0	0	0	0	0	0	0	0	1030	0	3664	0			
597313																																																																																				615344	0				10.8252%			65821		608036	-6726	0						0	0	0	0	58417	608036	0	0.0000%	25382	0	5417	30799	5.0052%	0	0	0	0	1		7404		1	0	59095	0	0	0	-6726	0	0	0		0	65821	0	0	65821	0	0	0	0	0	0						0	0	19685		
