"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	9	40													11	3													true	true	
242	105	89													31	35													true	true	
587677			30	1213	26	3465	16	5503	44	1211	15	1438	18	7775			7	359	9	1603	5	1274	16	464	8	739	2	530	false	false	
587800			25	1266	170	22226	306	107722	2763	68290	1166	102697	380	94310															false	false	
588245			10	324	40	5906	37	14048	46	2255	29	3425	12	3916			26	594	14	1386	19	6919	28	762	2	303	3	941	false	false	
588348			70	2468	42	5440	22	10010	338	9837	73	7601	35	10975			48	1977	51	7195	65	15122	559	17630	177	20492	71	17383	false	false	
589158			2	43	5	429	11	4122	22	548	7	917	6	1952			4	242	12	1293	18	5319	36	882	22	1998	20	3622	false	false	
589523			24	1165	137	17908	296	111794	429	10541	122	11531	104	25203			1	28	0	0	1	290	0	0	0	0	0	0	false	false	
589943			53	2188	76	9857	143	60836	328	7711	118	13158	144	48217			60	2225	113	13955	101	28209	199	4689	118	10808	67	10660	false	false	
590220			52	2164	86	9659	124	49124	335	7839	90	7917	79	20840			7	263	8	968	4	1060	0	0	1	70	0	0	false	false	
590640			17	940	29	3481	60	23358	93	2565	36	3347	24	5506			8	243	6	613	1	181	5	217	0	0	1	116	false	false	
590976			3	165	16	2306	68	32056	121	5475	86	8972	111	38589			0	0	0	0	1	481	0	0	0	0	0	0	false	false	
591209			0	0	0	0	1	502	0	0	0	0	0	0															false	false	
591320			46	2255	97	11654	173	66080	140	4106	52	4515	34	6678			3	147	2	179	3	927	0	0	0	0	0	0	false	false	
591357			12	457	20	2668	12	3401	77	1457	9	615	5	2426			13	530	11	1354	1	300	11	225	1	213	0	0	false	false	
591366			14	626	37	4392	57	24633	184	5146	39	3976	36	11646			16	663	12	1184	10	3163	30	747	10	622	2	198	false	false	
592448			62	3494	92	13075	148	64592	455	18133	151	15821	169	57672			3	57	0	0	0	0	0	0	0	0	0	0	false	false	
592550			11	317	9	1148	31	14139	36	1178	14	1618	10	4057			14	536	20	2406	16	4411	26	631	14	1129	8	1105	false	false	
592644			22	725	42	4165	60	25177	63	1187	23	1950	17	2871			10	424	12	1047	6	1314	29	620	7	869	5	1208	false	false	
