"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
2925620																																							52254	8165	6377	0	0	8080	0	16066	487493	392434	2303	434754	0	4625	40017	0	52739	2750	487493	0	0	38560	0	0	13262	0	191633	200801			0	209297	204672	-1833	0	0	0	0	52739	230	191649	
2925666																																							2969617	295711	6402665	515886	1857557	686741	5129	2644463	55867973	45987934	789756	48931131	123	434450	1784087	0	6936719	34028	55867973	43224	43781	3409512	22749	0	3652967	175396	8967921	37020013			0	37932613	37498163	-159788	0	83120	0	325573	6936842	22750	2644802	
2929392																																							75741	13391	201431	0	0	4961	0	12604	1018932	904560	11555	916115	0	8931	0	0	102817	5880	1018932	0	0	66937	0	0	32233	1554	284443	620117			0	716368	707437	-2233	0	0	0	0	102817	1813	0	
2938198																																							449181	148123	527870	0	15407	28144	3746	111997	5678884	4754040	34120	5171670	0	28505	375000	0	507214	3250	5678884	8529	8510	376686	0	0	153464	0	1098001	3656039			0	4122677	4094172	-26186	4	0	0	0	507214	6855	284856	
2938787																																							25016	2	10500	0	0	14511	0	4865	54894	0	12292	12292	0	0	0	0	42602	1000	54894	0	0	10259	0	0	31221	0	0	0			0	0	0	122	0	0	0	0	42602	0	0	
2939001																																							7682	1884	14662	0	0	2638	0	4897	97385	83430	839	88269	0	1000	4000	0	9116	4312	97385	0	0	-1275	0	0	7121	0	34583	48847			0	61172	60172	-1042	5450	0	0	0	9116	0	0	
2939391																																							26225	2462	98069	0	0	3691	0	6401	287687	248292	2649	250941	0	2420	0	0	36746	6	287687	0	0	32661	0	0	5951	0	60666	187626			0	153259	150839	-1872	0	0	0	0	36746	0	0	
2941068																																							380199	94026	861534	0	401714	127591	767	327537	9015325	7765440	60981	7832754	0	68785	5921	0	1182571	9230	9015325	412	412	93797	0	0	1108799	11308	1980427	5785013			0	6874711	6805926	-29255	0	0	0	0	1182571	4311	0	
2943615																																							83799	5489	54788	0	0	4094	0	13803	613057	527609	5404	533013	0	5921	0	0	80044	4850	613057	0	0	59640	0	0	15703	0	108649	418960			0	454505	448584	-149	2500	0	0	0	80044	0	0	
2947556																																							323444	273	2259	0	0	4999	0	5407	522054	332253	15431	347684	0	0	0	0	174370	1705	522054	0	0	159207	0	0	13493	185672	308871	23382			0	0	0	-35	0	0	0	0	174370	0	0	
2948058																																							34459	25045	9211	1581	1211	12190	0	22448	910535	787607	14235	808842	0	7857	7000	0	101693	1761	910535	0	0	33199	0	0	67179	2960	141543	646064			0	809287	801430	-446	0	0	0	0	101693	0	0	
2948423																																							9606	20823	116292	0	0	4581	0	17058	422674	352843	9305	380502	0	3332	10000	0	42172	3569	422674	0	0	26909	0	0	16818	0	92129	260714			0	203616	200284	-5124	50650	0	0	8354	42172	0	3380	
2949970																																							14796	1755	25	0	510	2585	0	4359	176067	122715	2473	160437	0	916	35249	0	15630	23167	176067	0	0	-7537	0	0	0	18426	18316	104399			0	134527	133611	0	0	0	0	0	15630	0	0	
2953418																																							167543	9269	22926	0	0	4559	605	12328	1082700	960559	5963	966522	0	10018	0	0	116178	6583	1082700	0	0	29187	0	0	85161	0	315044	645515			0	812829	802811	-4753	59304	0	0	0	116178	0	3355	
2954059																																							237190	12985	115694	0	6032	23397	20077	138506	3352412	2687588	22478	2990840	0	37803	280774	0	361572	7000	3352412	0	0	88668	0	0	268860	0	537109	2150479			0	2826735	2788932	-2956	0	0	0	0	361572	9599	0	
2954497																																							18797	6750	104557	0	0	2006	0	18052	458831	337667	9090	383757	0	3055	37000	0	75074	14800	458831	0	0	58317	0	0	3320	11717	33346	304321			0	293141	290086	-1363	6866	0	0	0	75074	0	0	
2958972																																							8507	13444	83624	0	3668	23085	4662	31732	1116598	936913	13055	1019329	0	12167	27000	0	97269	5000	1116598	2361	2361	49035	0	0	51000	392	207092	729821			0	955501	943334	-7766	0	0	40000	0	97269	1789	0	
2960555																																							8320	2733	39811	0	0	1584	0	5323	138206	122215	1126	123341	0	1252	0	0	14865	4593	138206	0	0	9987	0	0	2584	0	46651	75564			0	77762	76510	-2299	3925	0	0	0	14865	0	0	
2960788																																							0	41	0	0	0	0	0	423	3946	0	143	143	0	0	0	0	3803	1250	3946	0	0	1303	0	0	1250	0	0	0			0	0	0	0	0	0	0	0	3803	487	2995	
2963266																																							278222	16376	310833	0	68081	43331	0	124873	3516402	3077303	42185	3119488	0	23492	0	0	396914	292022	3516402	0	0	106899	0	0	0	0	828846	2248457			0	2695350	2671858	-2007	2578	0	0	0	396914	0	250	
2963275																																							26306	3833	11930	0	0	1486	0	5842	192828	179035	1883	180918	0	828	0	0	11910	5425	192828	0	0	6356	0	0	5000	0	79473	99562			0	71101	70273	-4871	0	0	0	0	11910	0	73158	
2963864																																							15543	4097	54670	0	444	4302	0	9010	328087	290628	5020	298148	0	1823	2500	0	29939	1111	328087	0	0	13541	0	0	17567	0	47039	243589			0	241844	240021	-2280	0	0	0	0	29939	0	0	
2970657																																							35221	12086	215308	0	15920	15924	89	133115	2382444	2054268	7105	2142732	0	10777	75000	0	239712	3629	2382444	6351	6359	129948	0	0	112030	0	370012	1684256			0	1795842	1785065	-5895	4	0	0	0	239712	855	162506	
2973041																																							871	0	0	0	0	790	0	5555	13844	0	998	998	0	0	0	0	12846	498	13844	0	0	1729	0	9	10610	0	0	0			0	0	0	0	0	0	0	0	12846	6628	0	
2973386																																							0	819	167821	0	0	1058	0	67393	250341	500	17767	18267	0	0	0	0	232074	500	250341	0	0	230849	0	0	4702	0	0	500			0	0	0	-3977	0	0	0	0	232074	13250	0	
