"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
14753	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14865	0	0	0	0	0	0	48	45				0	24	8		0				0		0	0	0	0	0			1	1	0	0	0	0			0	0	0	0	0	0	0	0				0	0	15	2	
14977	0	0	0	0	0	0	2	2				0	5	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	5	0	
16551	0	0	0	0	0	0	22	1				0	54	41		0				0		0	0	0	0	3			0	0	0	0	0	0			0	0	0	0	0	13	0	0				0	0	13	5	
17110	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
17147	0	0	4	1	0	0	4543	3366		0		0	16932	11492		0		0	0	0	0	0	0	0	1381	389			0	0	85	31	1534	0			0	0	63	0	399	12	463	94	0	0		519	340	1077	225	
17259	0	0	0	0	0	0	10	0				0	17	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				10	8	7	2	
17950	0	0	0	0	0	0	4	1				0	1083	1052		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	20	0				3	1	8	2	
17978	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
18050	0	0	0	0	0	0	80	14				0	437	192		10				10		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				4	6	231	60	
18827	0	0	0	0	0	0	297	242				5	325	102		0				0		0	0	0	0	0			0	0	32	0	213	0			0	0	0	0	0	0	0	18				0	0	10	0	
18836	0	0	0	0	0	0	32	0				0	119	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	119	32	
18854	0	0	0	0	0	0	987	963		0		4	200	0		0		0	0	0	0	4	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	197	17	0	0		0	0	3	3	
19356	0	0	0	0	0	0	6	0				0	125	45		54							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				26	6	0	0	
19936	0	0	0	0	0	0	86	45				4	240	0		8				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	21	222	6	0	0				0	3	10	7	
19972	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
20053	274	0	0	0	0	0	7	0				0	288	0		0							0	0	0	0			4	4	0	0	0	0			0	0	0	0	0	3	0	0				0	0	10	0	
20633	0	0	0	0	0	0	2	0				1	24	0		8				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	16	1	
20857	0	0	0	0	0	0	1	1				0	5	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	5	0	
21256	0	0	0	0	358	0	0	0				0	358	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21359	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21658	0	0	0	0	0	0	2	0				2	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
22048	10	0	0	0	0	0	52	31				0	191	98		0				0		0	0	0	0	0			0	0	0	0	15	0			0	0	0	0	3	3	3	0				0	0	62	18	
22543	0	0	0	0	0	0	8	0				0	35	1		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	34	8	
22552	0	0	0	0	0	0	1	1				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
22730	0	0	0	0	0	0	88	0				0	212	0		0							0	0	0	0			0	0	3	0	0	0			0	0	0	0	0	0	0	0				0	0	212	85	
23456	0	0	0	0	0	0	11	1				0	370	91		14				0		0	0	0	0	0			33	0	0	0	0	0			0	0	0	0	136	0	96	5				0	4	0	1	
23504	0	0	69	1	0	0	727	690		0		0	25776	5624		0		0	0	0	0	0	3867	0	0	0			0	0	0	0	44	0			0	0	0	0	1492	12	18490	0	0	0		0	0	57	24	
23643	0	0	0	0	0	0	183	3				0	535	36		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	208	0	0	0	0	0				131	54	160	126	
23755	0	0	0	0	0	0	96	1				0	140	16		0				0		0	0	0	0	0			0	0	62	0	94	0			0	0	0	0	0	0	0	0				0	26	30	7	
24378	0	0	0	0	0	0	1	0				0	0	0		0							0	0	0	0			0	0	0	1	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
24659	0	0	0	0	0	0	13	0				0	9	0		0				0		0	0	0	0	0			9	0	10	0	0	0			0	0	0	0	0	0	0	0				0	1	0	2	
24949	0	0	0	0	0	0	137	0				0	5	0		0				0		0	0	0	0	0			1	1	20	1	0	0			0	0	0	0	0	115	0	0				0	0	4	0	
25357	311	0	506	3	0	0	289	236				35	2649	651		232				143		4	0	0	0	0			0	0	0	0	25	0			0	0	0	0	238	0	643	3				18	7	25	5	
25647	0	0	0	0	0	0	200	0		0		0	101	0		3		0	0	0	0	0	0	0	0	0			0	0	0	195	0	0			0	0	0	0	94	0	0	0	0	0		0	0	4	5	
26765	0	0	0	0	0	0	398	246				69	1071	557		160				0		0	0	0	0	0			0	0	20	0	143	0			0	0	60	0	151	63	0	0				0	0	0	0	
27070	0	0	0	0	0	0	9	0				9	42	0		42				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
27614	0	0	0	0	0	0	1	0				0	28	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	28	1	
27847	0	0	0	0	0	0	98	38				6	302	162		0				0		6	0	0	0	0			0	0	10	0	26	0			0	0	0	0	0	3	0	0				83	31	31	10	
28013	0	0	0	14	0	0	946	872		0		0	4976	4633		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	343	60	0	0	0	0		0	0	0	0	
28152	0	0	0	0	0	0	0	0				0	186	0		0				0		0	0	0	0	0			0	0	0	0	0	3			0	0	0	0	0	0	174	0				0	0	9	0	
28675	0	0	0	0	0	0	3	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	3	
28732	0	0	0	0	0	0	6	6				0	8	1		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	7	0	
29476	17	0	0	0	0	0	8	0				4	21	0		0				0		0	0	0	0	0			0	0	2	0	0	0			0	0	0	0	0	2	0	0				0	0	4	0	
29636	0	0	0	0	0	0	269	57				4	409	46		1				1		4	0	0	22	0			162	42	35	1	21	0			0	1	0	1	69	104	0	0				4	1	84	23	
29878	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
30052	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
31134	0	0	0	0	0	0	56	7				0	114	21		0				0		0	0	0	0	0			9	1	3	0	0	0			0	0	0	0	0	0	0	0				9	5	75	40	
31255	0	0	0	0	0	0	77	74		0		3	549	517		2		0	0	0	0	0	0	0	0	0			0	0	0	0	0	30			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
31657	0	0	0	0	0	0	32	0				15	0	0		0				0		15	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	16	0	1	
31826	0	0	0	0	0	0	127	23		0		0	187	4		0		0	0	0	0	0	0	23	0	0			0	0	1	0	6	0			0	0	0	0	127	76	0	0	0	0		20	0	30	27	
31835	0	0	0	0	0	0	78	4				0	278	37		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	241	74	
32234	0	0	0	0	0	0	40	0				0	134	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	134	40	
32766	0	0	0	0	0	0	142	2				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	100	0	0	0	37				0	0	0	3	
32971	0	0	0	0	0	0	65	0				0	123	0		0				0		0	0	0	0	0			0	0	43	0	44	0			0	0	0	0	0	0	0	0				0	0	79	22	
33147	0	0	0	0	0	0	18	0				0	2161	514		1190				1190		0	0	0	0	0			0	0	9	0	0	0			305	1	0	0	118	0	0	0				25	2	9	6	
33259	0	0	0	0	0	0	0	0				0	4	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	4	0	
33370	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
33839	0	0	0	0	0	0	7	0				0	7	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				7	7	0	0	
33857	0	0	0	0	0	0	13	5		0		1	188	0		50		0	0	50	0	1	0	0	0	0			0	0	0	0	0	0			96	0	40	0	0	0	0	0	0	0		0	4	2	3	
34537	0	0	0	0	0	0	4803	2425		0		0	17512	13355		808		0	0	0	0	0	0	0	19	15			0	0	85	0	378	0			0	0	139	13	0	0	516	1499	0	0		118	163	2179	603	
34555	0	0	0	0	0	0	62	55		0		2	77	20		30		0	0	0	0	0	0	0	0	0			0	1	1	0	0	0			0	0	0	0	0	0	0	0	0	0		2	1	25	2	
34742	0	0	0	0	0	0	3	1				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	2	
35057	0	0	0	0	0	0	43	0				0	145	0		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	127	38	0	0				0	0	18	4	
35301	0	0	0	0			0		0	0	0	0	32000		0	0	6000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	23000	0	0	0	0	0	0	0	0	
35646	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
35879	0	0	0	0	0	0	0	0				0	58	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	58	0	
36933	0	0	0	0	0	0	9	9				0	27	21		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				5	0	1	0	
37051	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
37341	0	0	0	0	0	0	17	17				0	173	38		135				81		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
37435	0	0	0	0	0	0	697	220				0	2644	1248		0				0		0	0	0	15	0			77	25	64	8	0	18			0	0	0	14	0	0	940	123				130	169	216	74	
37640	0	0	0	0	0	0	690	33		0		350	2772	757		961		0	0	0	0	0	0	0	71	15			743	259	21	0	71	0			0	0	0	0	26	0	0	0	0	0		45	5	98	7	
37659	0	0	0	0	0	0	2	0				0	143	131		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	12	2	
37949	0	0	0	0	0	0	29	25				0	364	362		0				0		0	0	0	0	0			0	0	4	0	0	0			0	0	0	0	0	0	0	0				0	0	2	0	
38740	0	0	0	0	0	0	25	0				9	50	0		15				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	1	0	0	0				16	4	18	12	
39327	0	0	0	0	0	0	45	0				27	144	50		67				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	10	0	0	0	0				0	0	27	7	
40033	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
40499	0	0	0	0	0	0	83	47		0		0	16636	723		0		0	0	0	0	0	0	0	0	0			0	0	0	15	0	0			0	0	175	0	16	6	15598	0	0	0		3	14	121	1	
40855	0	0	0	0	0	0	1	0				0	2	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	1	0	0	
41553	0	0	0	0	0	0	0	0				0	3	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	3	0	
41629	0	0	0	0	0	0	220	14				0	410	20		0				0		0	0	0	0	0			7	3	0	0	0	0			0	0	0	0	0	0	0	0				373	146	10	57	
41825	0	0	0	0	0	0	10	9		0		0	0	0		0		0	0	0	0	0	0	0	0	1			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
42037	0	0	0	0	0	0	16	2				0	47	26		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	21	14	
42354	0	0	0	0	0	0	12	0				0	36	24		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				9	9	3	3	
42372	0	0	0	0	0	0	13	13				0	18	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	18	0	
42420	0	0	461	0	170	39	7910	4638		0		181	26013	11519		1151		0	0	0	0	0	0	0	130	138			253	65	55	9	221	0			562	0	267	0	1213	63	3463	142	0	0		4510	1952	2093	628	
