"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ACL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ACL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
2750		0	530	18	0	0	512	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252		0	3538	250	376	0	3480	568	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3458		0	657	5	41	0	640	29	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720		0	1900	90	5	0	1810	5	0				30	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0		
3971		0	11997	17	547	0	14070	2637	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4231		0	999	45	10	0	944	0	0				10	0	3	0	0	13	0	0	0	0	0	0	0	0	0	30		
5069		0	12497	-1443	0	0	13940	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-770		
5135		0	6420	90	4	0	6967	641	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5210		0	23660	5156	64	0	17280	304	1464				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-979		
5461		0	6912	0	29	0	6887	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5751		0	3407	766	4	0	2637	0	0				40	0	0	0	0	40	0	0	0	0	0	0	0	0	0	-16		
6039		0	6752	798	27	0	5969	42	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	
6329		0	29813	15950	10798	0	30245	27180	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	
7009		0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7045		0	1249	70	8	0	1196	25	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072		0	3528	670	94	0	3320	556	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7		
7456		0	1263	166	0	0	1108	11	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7634		0	1354	-40	61	0	1380	47	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15		
8462		0	2124	295	20	0	1968	159	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		
8631		0	410	6	0	0	407	3	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		
9357		0	3956	456	119	0	3736	355	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-32		
9553		0	1381	0	1	0	1380	0	0				70	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0		
9807		0	30943	0	547	0	30398	2	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955		0	2043	100	2	0	1943	2	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
10250		0	4553	535	44	0	4220	246	0				162	0	-10	0	0	152	0	0	0	0	0	0	0	0	0	26		
10849		0	3066	112	13	0	2941	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68		
11145		0	3450	-4043	2436	0	5196	139	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640		0	2584	11	40	0	2602	69	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
11837		0	1235	243	0	0	1048	56	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57		
12030		0	12364	0	4062	0	12685	4383	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12142		0	2239	71	7	0	2282	121	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19		
12311	0		2374055	357082	154079	0	2244361	381467	0	0	7028	0	0	0	0	0	0	0	0	3434	-3434	0	0	0	0	0	0	-13355	0	
12647		0	1223	15	7	0	1209	8	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12946		0	38037	4887	512	0	34306	1668	0				0	0	0	0	0	0	600	0	0	0	0	600	0	0	0	-586		
13103		0	24582	1213	673	0	22972	276	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2585	0	
13251		0	771	45	6	0	767	47	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
13457		0	1692	738	4	0	951	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14155		0	4977	294	1	0	4701	19	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7		
14650		0	1560	371	48	0	1178	37	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-71		
14753		0	607	0	0	0	607	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14865		0	6810	0	48	0	6786	24	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14977		0	680	23	2	0	660	5	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16551		0	4785	0	22	0	4817	54	0				18	0	0	0	0	18	0	0	0	0	0	0	0	0	0	75		
17110		0	279	0	0	0	279	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147		0	194468	14100	4543	0	192757	16932	0				245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	4514	
17259		0	1066	817	10	0	256	17	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17950		0	5399	505	4	0	5973	1083	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17978		0	1495	60	0	0	1435	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18050		0	7394	950	80	0	6801	437	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50		
18827		0	24138	1067	297	0	23099	325	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519		
18836		0	2037	244	32	0	1880	119	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18854		0	19405	700	987	0	17918	200	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19356		0	1791	445	6	0	1465	125	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15		
19936		0	4085	100	86	0	4139	240	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
19972		0	441	16	0	0	425	0	0				29	0	0	0	0	29	0	0	0	0	0	0	0	0	0	-4		
20053		0	1839	180	7	0	1940	288	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
20633		0	2801	131	2	0	2692	24	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17		
20857		0	2460	368	1	0	2096	5	0				10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	-89		
21256		0	93	328	0	0	123	358	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
21359		0	497	18	0	0	479	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
21658		0	2440	0	2	0	2438	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22048		0	4555	640	52	0	4099	191	-45				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
22543		0	2503	-50	8	0	2580	35	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60		
22552		0	1177	174	1	0	1002	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
22730		0	1715	110	88	0	1729	212	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61		
23456		0	3335	560	11	0	3134	370	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23504		0	94061	30359	727	0	88751	25776	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-318	0	
23643		0	2768	740	183	0	2380	535	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23755		0	2096	200	96	0	1940	140	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24378		0	348	4	1	0	343	0	0				5	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0		
24659		0	598	0	13	0	594	9	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24949		0	5400	-39	137	0	5307	5	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39		
25357		0	6301	2418	289	0	6243	2649	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
25647		0	3468	0	200	0	3369	101	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26765		0	48267	6087	398	0	42853	1071	0				14	0	-7	0	0	7	0	0	0	0	0	0	0	0	0	2010		
27070		0	8063	900	9	0	7196	42	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185		
27614		0	1581	0	1	0	1608	28	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
27847		0	7518	447	98	0	7295	302	-20				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
28013		0	36890	5737	946	0	35183	4976	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	
28152		0	2122	354	0	0	1954	186	0				65	0	-1	0	0	64	0	0	0	0	0	0	0	0	0	0	0	
28675		0	1528	330	3	0	1195	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28732		0	1525	110	6	0	1417	8	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25		
29476		0	1795	88	8	0	1720	21	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105		
29636		0	8611	1803	269	0	6948	409	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-124		
29878		0	17766	202	0	0	17564	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15		
30052		0	438	5	0	0	433	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
31134		0	1922	180	56	0	1800	114	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31255		0	9712	691	77	0	9493	549	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31657		0	1043	1	32	0	1010	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
31826		0	4951	356	127	0	4655	187	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31835		0	2325	0	78	0	2525	278	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32234		0	1149	457	40	0	786	134	0				17	0	1	0	0	18	569	0	168	0	0	737	0	0	0	0		
32766		0	2486	-92	142	0	2436	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46		
32971		0	3142	178	65	0	3022	123	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33147		0	7015	1887	18	0	6169	2161	1102				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71		
33259		0	11840	-27	0	0	11871	4	0				3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	429		
33370		0	153	2	0	0	151	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33839		0	114	0	7	0	114	7	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33857		0	14492	874	13	0	13793	188	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	
34537		0	147453	22000	4803	0	138055	17512	107				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	
34555		0	3146	270	62	0	2766	77	125				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34742		0	5537	532	3	0	4924	0	78				2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	68		
35057		0	2407	196	43	0	2313	145	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35301	1000		190000	49000	0	0	173000	32000	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	
35646		0	672	58	0	0	614	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
35879		0	1150	82	0	0	1126	58	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60		
36933		0	4773	387	9	0	4404	27	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37051		0	1307	247	0	0	1060	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37341		0	1379	346	17	0	1189	173	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10		
37435		0	18033	3039	697	0	16941	2644	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37640		0	76057	17200	690	0	44436	2772	16503				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	
37659		10	535	150	2	0	526	143	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	9		
37949		0	1877	225	29	0	1987	364	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
38740		0	3401	275	25	0	3151	50	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
39327		0	4635	824	45	0	3910	144	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376		
40033		0	785	0	0	0	785	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
40499		0	50259	10711	83	0	56101	16636	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-584	0	
40855		0	1652	144	1	0	1509	2	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
41553		0	819	30	0	0	792	3	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
