"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
1669	40251	0	55107	102157	0	196572	0	0	10031	0	190267	0	15203		26997	19362		140953	175044	512	20	5197	10031	10031	31069	24889	3090	1057	55590	28734	41561	255	0	33109	70550	0	0	70295	0													
1856	1423	0	2243	4315	0	7549	0	0	0	0	29966	0	1240		5894	2112		5306	28718	0	8	0	0	0	7867	10705	162	21	18572	2463	5213	0	0	12861	7676	0	0	7676	0													
2161	31358	0	55046	79435	0	181926	0	0	26859	0	148995	0	7234		7131	68779		126880	141761	0	0	19819	26859	0	4056	24268	647	155	28324	6062	7175	1495	5000	21995	19732	94433	0	13237	0													
2732	46615	0	24074	146362	0	202258	0	0	0	0	396470	4750	32772		27719	123266		178184	358948	0	0	3260	0	0	25654	63426	1915	412	89072	41651	92214	1316	0	63689	135181	24629	0	133865	0													
2750	13632	0	9065	6981	0	20625	0	0	0	0	37800	0	8445		8431	788		11560	29355	0	0	1331	0	0	3485	12498	582	357	15205	2021	4438	0	0	8491	6459	0	0	5557	0													
3252	18427	0	176001	65468	0	219646	0	0	0	0	101991	0	36521		11632	22226		43645	64201	0	1269	0	0	0	7962	16198	4327	187	24160	14892	16396	1022	354	17042	32664	8573	0	31288	0													
3458	4803	0	3385	13243	0	20021	0	0	1136	0	52875	0	4274		19091	5473		16636	48601	0	0	497	1136	1136	6800	20365	7650	366	27165	1702	3237	2192	288	16090	7419	1136	0	4939	0													
3720	55214	0	38963	110234	0	208781	0	0	0	0	163570	0	11865		24158	25161		169818	151705	0	0	2294	0	0	18381	30542	429	0	48614	16442	17400	0	0	25194	33842	0	0	33842	0													
3971	107906	0	2548	170451	0	298071	0	0	3430	0	570945	0	6052		106376	201095		295523	561664	0	3229	7264	3430	3430	48729	118738	29763	2246	167467	22028	30512	9628	300	93100	62468	5696	0	52540	0													
4231	21598	0	29556	37581	0	73066	0	0	0	0	63712	0	2191		12102	9039		43510	61521	0	0	6703	0	0	4883	13344	5554	1418	18227	2658	3463	845	910	13097	7876	0	0	6121	0													
5069	23944	0	0	35041	0	36516	0	0	92853	0	233666	4750	1477		30784	60328		36516	184087	0	43352	637	92853	65703	18269	33181	31772	789	51450	11453	44179	8341	1410	53227	65383	0	0	55632	697													
5135	30539	0	49736	108747	0	185151	0	0	10055	0	335574	0	14903		65759	58819		135415	310616	0	10055	14900	10055	10055	40309	112189	2635	0	152498	31498	58868	717	0	89374	91083	0	0	90366	0													
5210	330200	161	109554	1012578	0	1196470	0	0	49060	0	1290330	0	50929		239977	513691		1085022	1238554	1733	847	19137	49060	49060	100260	196232	59077	4415	249836	17457	61294	7704	0	120007	86455	89927	0	78751	0													
5461	61303	0	12375	345683	0	345683	0	0	0	0	344296	0	22613		9303	190275		333308	321683	0	0	513	0	0	17010	14193	513	17	31203	45115	15870	0	0	22429	60985	123217	0	60985	0													
5751	14975	0	5570	44314	0	76626	0	0	52644	0	209025	0	39494		15383	84285		71056	158444	0	11087	2269	51478	248	9079	16460	9032	6329	25539	1911	13606	31243	22105	25517	68865	15040	1166	15517	8996													
6039	49953	0	23361	240862	0	242419	0	0	0	0	270783	0	766		55366	60645	5348	219058	270017	0	0	1500	0	0	39012	69964	2390	1408	108976	15846	30648	300	616	57409	47410	0	0	46494	0	0	0	0	0	0	true							
6329	144287	0	30088	704954	0	884935	0	0	292692	0	1098572	0	118084		212079	408001	10106	852371	975003	2476	5485	1999	292692	85973	78744	247379	63738	4253	326096	33449	116755	1123	843	182035	152170	553062	0	150204	0	0	0	0	0	0	true	156160	159809	0	408001	144287	0	
7009	0	37	0	85429	0	85429	0	0	0	0	1517984	0	0		0	1517984		85392	1517984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
7045	33909	0	121523	37575	0	191166	0	0	0	0	109862	0	5885		19141	29896	6904	69643	103977	0	0	1188	0	0	16936	18357	869	235	35293	6305	3355	0	0	17256	9660	0	0	9660	0	0	0	0	0	0	true							
7072	81826	2	2664	82057	0	108510	0	0	19189	0	289105	0	13273		38661	75447		105844	275595	0	237	4134	5004	5004	27384	44428	7162	686	71812	15489	32531	4151	0	40999	52171	0	11185	48020	738													
7456	27622	0	14629	24264	0	48235	0	0	0	0	70532	0	10042		16684	0		33606	60490	0	0	109	0	0	11502	16165	1871	136	27667	7390	5845	0	0	12991	13235	0	0	13235	0													
7634	11309	0	1454	16608	0	21256	0	0	0	0	57667	0	175		9513	1833		19802	57492	0	0	4189	0	0	2054	20546	4780	136	22600	3039	10819	3150	0	18004	17008	0	0	13858	0													
8462	2090	0	6718	34567	0	83348	0	0	0	0	83815	0	16439		9011	6312		76376	67376	254	0	1929	0	0	7675	13132	2033	0	20663	40358	12214	0	0	13829	52572	0	0	52572	0													
8631	15949	0	1044	21530	0	27746	0	0	0	0	42031	0	1868		5797	4736		26702	40163	0	0	1259	0	0	7163	4231	294	197	11394	5688	3774	0	0	6088	9462	0	0	9461	0													
9357	1555	0	1244	177179	0	188508	0	0	2	0	242848	0	0		816	234615		187264	242848	0	0	163	2	2	547	937	254	0	1483	2286	2655	0	0	922	4941	14658	0	4940	0													
9553	22900	0	18257	22931	0	53673	0	0	4109	0	92042	0	4701		19151	9475		35416	86577	0	764	0	4109	249	13983	24774	3801	2373	38757	3798	10076	863	0	25779	14737	401	0	13874	0													
9807	639631	0	59067	151813	0	241408	0	0	0	0	2232907	0	670162		71239	953363	86834	182341	1562745	0	0	508	0	0	33366	149356	14951	718	182721	107234	333358	933	0	127151	441525	21527	0	440339	8972	0	0	0	0	0	true	9393	16927	568263	118584	331656	276156	
9955	11153	47	8963	51893	0	75351	0	0	0	0	81326	0	21054		4314	57298		66340	60272	1	0	0	0	0	1304	4776	1538	68	6079	634	4556	0	0	3372	5190	11198	0	5190	0													
10250	0	0	9964	164336	0	352915	0	0	249	0	300371	0	11027		64771	124170		341713	288342	1238	1002	13764	249	0	45896	65209	20566	1470	111103	17277	22534	3249	0	68370	43060	57199	0	39811	2026													
10849	98042	0	5729	4755	0	17350	0	0	0	0	267643	0	53909		34272	27486		11620	213734	1	0	2208	0	0	22765	67635	6302	259	90400	21274	21854	2026	0	62689	45154	0	0	43128	20317													
11145	58706	0	57323	92808	0	173168	0	0	0	0	208743	0	15549		41472	47810	9917	115845	193194	0	0	5331	0	0	23946	41704	8809	1121	65650	9267	15667	1419	294	34108	26647	0	0	24934	0	0	0	0	0	0	true							
11640	19695	0	46813	81183	0	200473	0	0	0	0	129371	0	4665		27040	14714		153660	124706	0	0	11275	0	0	25883	19769	5053	5868	45475	22969	12231	1794	1395	29533	38389	0	0	35200	0													
11837	7032	0	24867	13063	0	42862	0	0	37500	0	97674	0	58		47880	17372		17995	97616	0	0	1309	37500	27500	12233	34258	13247	648	46491	4104	7880	900	0	12506	12884	0	0	11984	0													
12030	46538	0	40787	193934	0	248724	0	0	0	0	339601	0	1402		90588	43976		207937	338199	0	0	9445	0	0	48612	126956	11275	1196	175568	22664	36574	1254	556	97451	61048	0	0	59238	0													
12142	35162	0	22659	90477	0	165269	0	0	3998	0	138768	0	25009		23461	16709		142384	113759	226	0	2293	3998	3998	21692	24840	1274	1	46532	5785	33305	0	0	24346	39090	0	0	38890	0													
12311	15629865	70	7725107	59665016	0	79146613	0	0	8093339	496	90595520	0	1431088		5904960	62228955	1246337	71400375	89157843	21061	6093	235201	8093339	8093339	5795321	4148890	166804	26640	9944211	1534107	999419	19921	45598	4232695	2599045	6094625	0	2533526	0	0	0	12348206	0	5851554	true	9749814	14621834	35367720	24805995	299039	15321933	
12647	35432	0	2397	50200	0	54558	0	0	0	0	131415	0	7394		9659	64816		52161	124021	0	0	365	0	0	4909	9474	3440	398	7489	3089	9857	0	0	8562	12946	0	0	6894	0													
12946	158042	0	319703	1206083	0	1210684	0	0	120065	0	1462314	0	56350		146268	555217		890981	1405921	0	43	22965	0	0	91744	204663	12786	3031	294995	162859	267497	5622	853	165956	436831	463838	120065	430356	0													
13103	109382	260	156846	442017	0	954823	0	0	0	0	1631434	687	346573		234488	829625	64862	797592	1283484	125	690	29076	0	0	170896	200666	23605	14308	371562	131717	142414	7579	1244	174986	282954	271040	0	274131	0	0	0	0	0	0	true	42395	284569	309237	185198	72466	24155	
13251	4812	0	495	13956	0	17561	0	0	0	0	45383	0	3181		7887	21894		17066	42202	0	0	0	0	0	3497	10109	1187	0	13526	1309	2575	0	0	6906	3884	0	0	3884	0													
13457	2658	0	269	7196	0	9881	0	0	0	0	100117	0	1213		6700	9674		9612	41764	0	57140	148	0	0	11608	47081	15498	157	58689	5802	5870	1771	0	67642	13443	0	0	11642	56890													
14155	31701	0	10227	153934	0	155776	0	0	1954	0	229810	0	29135		39277	75569		144173	199398	1376	1277	4746	100	100	46244	52709	3106	174	98952	11608	8698	0	0	62955	20306	80186	0	20306	0													
14650	7595	0	4549	18666	0	26089	0	0	11093	0	94726	0	14189		10179	36868		21534	66040	6	14497	962	11093	6093	28838	9712	5924	77	38550	2278	2770	663	0	34372	5711	30456	0	5048	14210													
14753	24333	0	1128	22020	0	22020	0	0	0	0	36016	0	2878		6020	0		20892	33138	0	0	876	0	0	2111	7072	154	24	9183	500	1537	285	0	3341	2322	0	0	2037	0													
14865	141926	12	43144	547896	0	547896	0	0	0	0	255351	0	20593		19624	55132		504740	234362	0	396	6181	0	0	25307	18912	2919	632	40566	2852	7670	0	0	28147	10522	108086	0	9418	0													
14977	6252	0	0	13481	0	16438	0	0	0	0	37731	0	0		6276	2871	3863	16438	37731	0	0	2011	0	0	8933	11646	453	26	20579	1842	5707	0	0	14783	7549	0	0	7549	0	0	0	0	0	0	false							
16551	62759	0	12100	130182	0	165657	0	0	0	0	224179	0	10231		67764	38405		153557	213948	0	0	14618	0	0	14629	59768	22187	5234	73396	2951	13787	3271	1189	34053	21198	0	0	16738	0													
17110	0	0	0	0	0	0	0	0	0	0	128224	0	0		8302	0	6324	0	128224	0	0	5290	0	0	57085	0	0	0	57085	71139	0	0	0	48783	71139	0	0	71139	0	0	0	0	0	0	false							
17147	1256508	0	1760066	2153491	0	7698618	0	0	1258889	0	7224282	0	996532		1149081	3908199	127596	5938013	6227750	539	0	31069	1258889	948152	401792	930923	325408	3624	1332715	140405	243944	11688	1792	512666	397829	598861	0	384349	1250	0	0	0	0	0	true	262674	1411257	1556348	1634589	897485	234226	
17259	16819	0	1737	17648	0	22445	0	0	0	0	41437	0	5452		9888	1068		20708	35985	0	0	2187	0	0	4003	12744	1604	325	16747	874	4001	0	0	8787	4875	0	0	4875	0													
17950	116766	333	49306	199657	0	281110	0	0	0	0	449106	1496	96033		51625	167842		231471	350100	0	1477	8466	0	0	47559	48123	6208	1159	95681	37927	21450	2073	0	51422	61450	59427	0	59377	0													
17978	44202	0	0	2194	0	44767	0	0	0	0	139692	0	905		44348	2996		44767	135747	0	3040	12077	0	0	20362	48313	4989	1385	68675	3077	14368	0	0	30701	17445	0	0	17445	0													
18050	106506	0	148371	300521	0	479146	0	0	0	0	446097	0	9840		60898	90487		330775	436257	0	0	5269	0	0	44202	83020	7236	0	125836	25620	88265	761	0	73561	114646	7552	0	113505	0													
18827	459618	0	277073	1131704	0	1131704	0	0	20287	0	1403527	0	248921		160144	434557		854137	1153598	494	1008	9441	20287	20287	78840	181497	18248	8292	260337	79716	134367	4368	4024	126733	222475	40421	0	214083	0													
18836	28095	0	3194	57492	0	71306	0	0	0	0	139158	0	24269		31836	37559		68112	114283	0	606	4629	0	0	30806	22336	5542	1980	49599	2786	10054	0	0	28828	12840	10630	0	12840	0													
18854	84824	0	133710	811478	0	932927	0	0	387562	0	703939	0	10224		36302	378652	5333	791870	685127	7347	8588	2332	387562	387562	45901	89520	6102	378	135421	25596	55268	17698	0	105599	98562	506813	0	80864	8257	0	0	0	0	0	true	75139	74252	106056	272596	77039	2997	
19356	8987	0	8531	58180	0	59307	0	0	23040	0	79414	0	7414		10946	10883		38498	59933	12278	12067	463	0	0	5037	22237	4665	5632	27024	2209	9274	5000	5490	26626	21973	13684	13040	11202	0													
19936	22175	0	52170	103242	0	215554	0	0	0	0	220011	0	17530		26579	108497		163384	202481	0	0	3934	0	0	14284	34870	7276	1408	49154	10808	16262	825	3605	31259	31500	0	0	27070	0													
19972	91667	0	0	0	0	0	0	0	0	0	91667	0	0		0	0		0	91667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
20053	14440	0	3469	34408	0	50849	0	0	44866	0	145464	0	1302		55966	33534		47380	144162	0	0	3367	44866	9136	13192	23040	38728	5665	36232	4584	9597	2200	484	24659	16865	9136	0	14181	0													
20633	43186	0	24125	44318	0	140782	0	0	25	0	155346	0	17103		24922	29121		116657	137995	0	248	3704	25	25	2345	55606	1459	792	57951	361	22476	0	0	35280	22837	26981	0	22837	0													
20857	46735	0	57965	206924	0	239746	0	0	0	0	336880	0	50714		43082	157419		179277	286166	2504	0	7593	0	0	26091	47882	5659	773	73973	13850	33030	5109	332	37324	52321	0	0	46880	0													
21256	1516	0	1647	3497	0	5179	0	0	0	0	3392	0	271		241	540		3532	3121	0	0	880	0	0	72	119	133	133	190	0	0	880	0	215	880	0	0	0	0													
21359	13080	0	2092	21479	0	29286	0	0	2161	0	45305	0	2784		4286	16680		27194	42521	0	0	0	0	0	1397	4262	4373	248	4262	1451	3009	805	0	5994	5265	0	2161	4460	0													
21658	28813	3	6855	17857	0	85508	0	0	0	0	106294	0	1552		39170	9161	14959	78650	104742	0	0	6416	0	0	27802	28824	2639	218	56600	4468	4038	331	0	20313	8837	0	0	8506	0	0	0	0	0	0	true							
22048	29100	0	24120	143628	0	143628	0	0	28780	0	156771	0	14283		22108	0		118448	142246	1060	242	3156	28780	28780	32372	47651	3724	8698	79615	8459	24563	2204	0	70337	35226	28454	0	33022	0													
22543	55199	17	33929	168698	0	228024	0	0	0	0	177445	0	9371		18388	59896		192592	167827	1486	247	1535	0	0	20147	23665	3676	355	43811	6575	6323	1611	0	29454	14509	62940	0	12897	0													
22552	14447	0	3486	30404	0	43461	0	0	11280	0	67205	0	6226		9789	9460		39975	60979	0	0	0	10197	7922	8085	17346	4222	3441	25341	1492	6455	2257	0	23305	10204	0	1083	7947	0													
22730	183	0	37018	101054	0	133157	0	0	9	0	135335	0	21999		24290	51228		96139	113336	0	0	59634	9	0	20590	29330	1709	498	49466	10948	20849	0	0	27837	31797	0	0	31797	0													
23456	20108	0	13339	160686	0	160686	0	0	0	0	205003	0	22205		60099	36646		147347	182798	0	0	6115	0	0	25574	68113	9327	1083	93687	7094	35319	1738	0	44000	44151	0	0	42413	0													
23504	1721675	0	244703	4282538	0	4866594	0	0	199965	0	7285690	0	1539015		276637	4425143	117735	4621383	5741362	508	5313	43916	199965	5	240281	324581	248406	6193	564862	129085	175727	14299	300	542824	319411	1609656	0	304812	0	0	0	1465726	0	1465726	true	636885	80427	1156271	2567199	629014	262614	
23643	26980	0	27729	68276	0	118919	0	0	7061	0	214578	0	35151		32089	32274		91190	179427	0	0	10401	6434	5940	16328	50739	11220	815	67067	31095	42304	2570	253	47013	76222	0	627	73399	0													
23755	64504	340	22014	70258	0	136571	0	0	4732	0	159918	92	11657		19138	28030		114217	140471	0	7698	857	0	0	12007	29325	5173	1530	35723	4277	11552	3520	0	28897	19349	15422	2000	15829	7947													
24378	18040	0	0	11501	0	17936	0	0	0	0	45012	2	250		13481	1278		17936	44760	0	0	1110	0	0	6317	10563	4188	1033	16880	1659	934	999	0	8621	3592	0	0	2592	0													
24659	31475	0	2410	30059	0	53822	0	0	0	0	41731	0	508		4665	487		51412	41223	0	0	2106	0	0	1282	4802	1183	101	6084	1862	540	0	0	2702	2402	0	0	1320	0													
24949	49069	0	13906	155823	0	192806	0	0	0	0	301155	0	6111		78746	93574		177663	295044	1237	0	2921	0	0	26688	89759	9751	310	116434	12910	15891	2541	662	47762	32004	24640	0	28801	0													
25357	19958	1	13966	68214	0	387254	0	0	0	0	146928	252	5116		29557	31203		373287	141560	0	0	6193	0	0	29121	38518	5142	1497	67638	7615	13579	297	0	44720	21491	0	0	21194	0													
25647	45460	0	5	52602	0	57241	0	0	0	0	269839	0	9723		49167	64308	8952	57236	215125	0	44991	4369	0	0	31946	78446	6964	42	110392	10345	30576	1752	0	68231	42673	0	0	40921	0	0	0	0	0	0	false							
26765	61732	0	257450	1814374	10911	2101073	0	0	0	0	2355649	0	44008		55730	1246904		1823985	2310159	8727	1482	14694	0	0	159928	191293	5416	1659	351221	391149	281682	10232	5655	302566	688718	711704	0	672831	0													
27070	115468	0	13129	176736	0	176736	0	0	46056	0	564128	0	28985		164310	127002		162121	534931	1486	212	17278	35025	25000	82093	146776	35722	1398	223929	13440	33704	7446	1078	101679	55668	31074	10025	46880	0													
27614	102210	0	30651	149973	0	252909	0	0	0	0	296016	0	32589		69734	54339		222258	263427	0	0	5695	0	0	49092	58193	8107	1692	107128	10594	11790	0	0	47350	22384	0	0	22384	0													
27847	71821	0	68038	285705	0	285705	0	0	8030	0	520715	0	34919		118717	61443		216430	465846	1237	19950	21633	0	0	86607	201756	9844	678	288363	27498	58708	2360	0	180168	88566	47393	8030	86206	19249													
28013	917738	0	877909	2087316	0	2087316	0	0	30000	0	1929027	0	67184		248135	291873	45833	1209407	1861843	0	0	14103	30000	0	333529	194005	16339	38905	527534	86219	46264	3101	1054	334643	136638	15841	0	132483	0	0	0	0	0	0	true	606174	461573	127085	99606	890062	2397	
28152	45564	0	7576	51718	0	82250	0	0	252	0	131069	0	8085		19681	42629	10591	74674	122734	0	250	4800	252	2	12822	16460	5031	432	29282	2392	5486	253	0	15064	8131	5643	0	7338	0	0	0	4180	0	4180	true							
28675	20573	0	18017	49800	0	51018	0	0	119772	0	224077	0	39717		135846	22879	3022	33001	184360	0	0	784	119772	119772	40722	112660	3352	473	153382	3355	18527	1536	0	21361	23418	0	0	21882	0	0	0	5019	0	0	true							
28732	27252	0	2230	50089	0	59378	0	0	0	0	86258	0	9046		9738	17523		57148	77212	0	0	1791	0	0	7470	16593	623	0	24062	1717	15080	0	0	14947	16797	0	0	16797	0													
29476	4031	0	29266	16114	0	57622	0	0	20579	0	89160	0	17878		10930	9837		27807	59987	549	11295	3411	13557	13557	20969	34751	544	571	55720	11408	7050	0	0	45905	18458	2901	7022	18458	16246													
29636	114273	0	107394	280228	0	638489	0	0	0	0	544289	0	38730		86607	177955		531095	503825	0	1734	20021	0	0	35481	89326	24486	11908	124807	13225	52550	18398	6687	74594	90860	117004	0	65775	0													
29878	581215	0	0	58327	0	191373	0	0	0	0	1161079	0	0		197804	11898		191373	1161079	0	0	39921	0	0	138535	243100	33946	12265	381635	61455	70548	6256	1861	230042	140120	0	0	132003	0													
30052	4547	0	0	13002	0	16311	0	0	0	0	24940	0	2708		2451	8143		15336	22232	975	0	0	0	0	3921	2113	430	0	6034	1804	3983	0	0	4014	5787	0	0	5787	0													
31134	24287	8183	8247	72467	0	90015	0	0	0	0	89854	200	428		11995	30814	5062	73585	89226	0	0	2122	0	0	8047	13026	2528	518	21071	5029	5342	261	0	12125	10632	0	0	10371	0	0	0	0	0	0	true							
31255	11209	0	220610	213065	0	349129	0	0	17697	0	767957	0	163759		11607	569639	3629	127528	603260	991	938	3051	17697	17697	37306	52860	2441	230	90165	24975	66641	2656	0	81231	94272	243851	0	91616	0	0	0	0	0	0	false							
31657	14055	0	5501	52261	0	78635	0	0	0	0	74565	0	4241		13105	2242		73134	70324	0	0	2767	0	0	4953	27473	1524	0	32426	2391	21667	260	0	20845	24318	0	0	24058	0													
31826	34586	0	24931	115256	0	163484	0	0	0	0	268385	0	22525		36829	151764	17585	138553	245860	0	0	8763	0	0	14910	42803	7574	2181	44764	3654	9941	345	627	30639	14567	0	0	13594	0	0	0	27342	0	27342	false							
31835	10603	0	0	44497	0	80007	0	0	0	0	74667	0	0		11711	8067		80007	74667	0	0	0	0	0	8905	19950	8	0	28855	8432	0	0	18699	17153	27131	0	0	8432	0													
32234	32498	0	42862	35121	0	132967	0	0	95000	0	246455	0	57758		112184	45494		90105	188697	0	0	1944	95000	95000	106412	26212	1203	114	132624	9500	25022	0	0	21757	34522	561	0	34522	492													
32766	8715	0	23381	145667	0	145667	0	0	133896	0	185966	0	30966		6372	166799		119562	152523	2724	2477	647	133896	0	516	4680	204	5052	5196	0	0	0	0	4080	0	204215	0	0	0													
32971	41702	0	14078	85002	0	107984	0	0	0	0	273661	0	14768		30103	124328		93906	251071	0	7822	823	0	0	20786	32225	10015	463	53011	9834	26772	7536	0	33386	44142	48620	0	36606	0													
33147	154122	0	22486	58623	0	81645	0	0	40039	0	431924	0	114965		44675	12274		59159	315998	0	961	8723	40039	39750	25141	118248	22279	3544	143389	20968	59980	10996	4370	124537	96314	38623	0	80948	0													
33259	43242	7	28523	177706	0	330123	0	0	21517	0	602941	0	16602		94425	319165		300307	576120	1286	10219	6336	20017	20017	54000	113124	8726	1474	167124	14698	47267	1245	0	82899	63210	31888	1500	61965	9433													
33370	3267	0	0	428	0	2096	0	0	0	0	16790	0	0		5754	0	3444	2096	16790	0	0	1357	0	0	3902	5463	2657	365	9365	0	1136	0	0	6633	1136	0	0	1136	3759	0	0	0	0	0	true							
33839	7612	0	10388	6657	0	21699	0	0	0	0	21339	0	922		5623	1596		11311	20417	0	0	428	0	0	2778	5566	1687	140	8344	1259	701	0	0	4548	1960	0	0	1960	0													
33857	39861	0	22727	162165	0	283898	0	0	185896	0	813014	14283	67516		279738	203906	28664	258865	673870	2306	57345	10634	185896	42697	93916	205004	113150	72478	201710	22259	55489	5624	1327	204810	84699	221655	0	77748	0	0	0	25000	0	25000	false							
34537	615559	0	475360	4571286	0	6371921	0	0	189561	248	6724976	0	258566		591030	4396458	87495	5885910	6462915	10651	3247	31110	189561	189561	644379	451257	10459	3193	1095636	392995	205754	3324	1599	518258	603672	1137347	0	598748	0	0	0	1058738	0	1058738	true	508204	976318	1898375	2303584	572464	42412	
34555	26158	0	34665	73470	0	134966	0	0	0	0	194676	0	36970		46064	37971	12099	98056	157706	2245	0	3757	0	0	6000	23708	58909	7472	28494	3077	7160	22797	1426	50023	34460	4113	0	10237	0	0	0	3655	0	3655	true							
34742	30267	0	32983	90533	0	191536	0	0	14418	0	452302	0	36626		76400	105692		158553	415676	0	0	7884	0	0	77020	136619	2014	165	168207	50245	50280	0	0	139418	100525	45432	14418	100525	0													
