"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
270531												
270652												
271136												
271275						9484	1258	0	1524	500	6202	
271341												
271529												
272030												
272058												
272151												
272272												
272302						135667	4292	0	5179	79076	47120	
273336						211044	29736	0	5986	2142	173180	
273550												
273653												
273662												
273840												
273859												
274025												
274052												
274829						17629	5	0	3472	700	13452	
274856												
275255						25692	0	0	1244	7107	17341	
275358												
275479												
275657												
276074												
276159												
276551												
276579						2962894	191457	92448	449472	136261	2093256	
276645												
276654												
276850												
276953												
277240												
277277						67065	158	0	389	20034	46484	
277736												
277820												
278256												
278555												
278733												
278751												
278818						180081	28284	0	32887	10612	108298	
279105						42244	17213	0	4277	8575	12179	
279842												
279954						82152	613	0	4501	27183	49855	
280110	15236306	1843113	62330	87249	13243614	15236306	1203432	62330	639681	87249	13243614	
280138												
280352												
280558												
282075												
282226												
282824												
283438						89274	0	0	4478	15231	69565	
283652												
283737												
283867												
284154												
284239												
284556												
284752												
284958												
285151												
285348												
285544												
285553												
285740						19529	41	0	3681	12793	3014	
285852												
285928												
286251												
286457												
286840												
287007												
287342												
287922												
287959												
288152												
288376						19641	0	0	2182	815	16644	
288853						690408	93767	0	48127	37036	511478	
289056												
289225												
289515												
289702												
289739												
289757												
290249						23866	9514	0	4273	4229	5850	
290838												
290922												
291059												
291611												
291732												
292234												
292467												
292850												
293053												
293352												
293437												
293651												
293754												
294023												
294751						47769	2562	0	8686	4239	32282	
294779						243533	6793	0	16856	8128	211756	
294827												
295011						36127	3004	0	4120	11248	17755	
295057												
295646												
296456												
296474												
296559												
296755												
297051												
297761												
298049												
298218												
298245						19968	874	0	1836	6637	10621	
299868						64557	0	0	14	59135	5408	
300009												
300063												
300353												
300933						25662	0	0	4098	9973	11591	
300942												
301574												
301800						112652	4144	0	9173	37901	61434	
302030												
302133												
302553												
302656						289248	0	0	14707	3414	271127	
303653												
303701												
303747												
303952												
304173												
304520												
304575												
304762												
304913												
305059												
305077												
305237												
305442												
306056												
306159						7638	5	0	1235	2650	3748	
306337												
306908												
307062												
307334												
307361												
307679												
308256												
308340												
308836												
309150												
309655												
309851												
310754												
310978						53481	2155	0	2115	3550	45661	
311050												
311144												
311256												
311265												
311603												
311658												
311845						719209	122294	0	296962	31740	268213	
311939												
312244												
312356												
313009												
313157												
313223												
313577												
314257												
314444												
315656												
316840						484238	66367	0	20509	13746	383616	
316859												
316934												
317258												
317342						752465	0	0	30248	75158	647059	
317379												
318974												
319047												
319551												
320034												
320052						19457	2459	0	5643	152	11203	
320070												
320119						846812	0	282358	2298	9423	552733	
321152												
321255												
321273												
321330												
321947						13277	2	0	4057	8993	225	
322449												
322551												
323204												
323651												
324153												
324229												
324256												
324340						98910	25231	0	27030	11764	34885	
324854												
324863						258203	32116	0	9806	12783	203498	
324975												
325141												
325459												
325534												
326054												
326344												
326858												
326979												
327220												
327305												
327435												
327556												
327855												
328058												
328357						307368	1570	0	783	157194	147821	
328656												
328777						77458	11108	0	4596	11840	49914	
329149												
329345												
329550												
329952						55849	2690	0	6063	40984	6112	
330239												
330248												
330855						34732	13566	0	13603	3033	4530	
330949												
331076												
331375												
331544												
331713												
332224												
332671												
332756												
333034												
333203						43835	6074	0	3687	10651	23423	
333650												
333856												
333940												
334264												
335346												
336147												
336361												
336576												
337340												
338646												
338945												
339072						236988	1510	0	757	1092	233629	
339353												
339456						31499	0	0	11243	1534	18722	
339607												
339773						206598	16918	0	30286	10408	148986	
339858						1468984	312611	18797	598314	24687	514575	
340135						34719	12105	0	16262	6327	25	
340144												
340256												
340443												
340742						19017	8226	0	3510	549	6732	
340751												
341310												
342054												
342410						184146	40700	0	19849	10451	113146	
342634						732826	112340	0	156425	10246	453815	
343051												
343248												
343770												
343903												
343958												
344647						110426	2953	0	3925	6614	96934	
344852												
345309						45605	8349	0	4462	24177	8617	
345345						32402	6333	0	1026	1012	24031	
345747						51403	112	0	2060	7691	41540	
345756						33610	0	0	1142	6775	25693	
345877												
346379												
346566												
346771												
347022												
347639												
347956						75794	1620	0	629	20952	52593	
348159												
348720												
349129												
349343												
350657												
350750												
351131												
351560												
351878												
352370												
352651												
352745												
352772						672863	100311	0	89191	23653	459708	
353238												
353546												
353555						2483181	68348	0	42008	43169	2329656	
353957												
354253												
354310						816739	52855	0	16527	9409	737948	
354552												
354851												
355120												
355559												
355858						199877	8847	0	7218	4151	179661	
356239												
356659												
356752												
357526												
357553												
357777												
357937												
358112												
358448												
358756												
359472												
359744												
360777												
361055												
361167						455782	44687	0	40580	5305	365210	
361279												
361354												
361439						45866	3	0	2420	5149	38294	
362043												
362155												
362717						16543	10069	0	5019	1390	65	
362856												
362940												
363442												
363648												
363657						37029	3028	0	2470	679	30852	
363778												
364131												
364270	30415	2681	0	1611	26123	30073	0	0	2339	1611	26123	
364430												
364850												
365325						2516614	121207	0	134263	109690	2151454	
365745												
365848												
365950												
366078												
366238						55768	0	0	19880	16547	19341	
366247												
366359												
366658												
366854												
367150												
367178												
367431												
367543												
368054												
368344												
368522												
368951												
369453												
369659												
370020												
370347												
370721												
370833												
370954												
371223												
371232												
371362												
371559												
371755												
371849												
371924												
371942												
372444												
372538												
372640												
372855												
373272												
373553												
373601						140763	0	0	1233	25525	114005	
374130												
374653						573619	11757	0	137996	48373	375493	
374774												
