"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
157379	5939	0					184	14299	0					0	0	0			1172	0	0	0										0		
157650	0	19579					410	0	21990					0	0	0			0	603	0	0										0		
157744	0	0					2708	1500	58023					10000	0	0			0	33221	0	0										97		
157856	0	0					139	0	13046					0	0	0			0	7468	0	2570										0		
158376	3143	0					627	19023	0					0	0	0			0	0	0	0										8		
158741	0	0					428	0	52887					5102	0	0			0	27869	0	0										0		
159636	0	0					6612	0	892449					4181	0	0			0	152055	0	0										0		
159645	0	486					1705	18885	59396					19500	0	0			18885	54936	0	0										0		
159953	0	55325					357	28988	78242					1455	0	0			28988	0	0	0										0		
159971	0	0					2833	138234	0					35000	0	0			0	0	0	0										35		
160360	0	10340					1949	0	162012					7500	0	0			0	29284	0	0										0		
160454	0	10189					921	0	54809					0	0	0			0	5140	0	0										64		
160959	0	10642					3552	1781	407816					72713	0	0			1781	377871	0	15063										0		
161273	0	0					21854	52498	184531					85747	0	0			12359	9701	0	0										0		
161602	0	6006					29971	441353	477591					500000	0	0			675	36906	0	0										7920		
162337	0	0					1288	0	193215					0	0	0			0	73653	0	0										0		
163343	0	0					170	0	0					0	0	0			0	0	0	0										0		
163549	0	4906					4695	3025	348625					75382	0	0			0	88020	0	0										0		
163857	0	41670					3980	17920	117246					26524	0	0			6420	51251	0	6290										0		
164153	0	5227					415	0	58766					4000	0	0			0	31849	0	0										62		
164331	0	2597					303	0	147848					0	0	0			0	62704	0	0										0		
164377	0	0					464	0	9845					9500	0	0			0	0	0	0										0		
164957	0	1999					151	0	13041					0	0	0			0	2744	0	0										0		
164975	0	0					615	0	12944					5000	0	0			0	2097	0	0										0		
165628	0	94	0	50452	6135	376151	104381	71594	3422595	15862	18439819	0	15928595	622981	0	0	0	66433	8320	519068	0	0	0	1241907	28389	487137	28750	681353	0	0	0	11214	0	
165758	0	9342					1968	0	44085					0	0	0			0	1557	0	0										0		
166111	0	0					1727	0	3014					20628	0	0			0	0	0	0										0		
166531	0	0					431	0	32283					119	0	0			0	15621	0	0										0		
166652	0	6863					757	880	86031					6188	0	0			880	457	0	0										2		
167453	0	0					1347	0	42128					7000	0	0			0	38506	0	0										0		
167752	0	1724					494	0	12119					259	0	0			0	8305	0	0										0		
168571	0	0					2715	1	51557					23000	0	0			0	4442	0	0										0		
169354	0	58405					1527	0	457975					0	0	0			0	107318	0	0										0		
169653	0	0					30633	923656	1038579					53200	5450	0			353	0	0	0										1778		
169756	24625	0					456	251870	5585					1022	0	0			24195	0	0	0										0		
170257	0	0					118	0	34188					0	0	0			0	7258	0	0										0		
170275	0	972					461	11357	72584					920	0	0			8528	32011	0	0										0		
170332	0	0					373	0	26326					3734	0	0			0	0	0	0										0		
171133	0	0	0	0	0	0	392	0	766	0	95177	0	85897	0			0	0	0	0	0	125	0	537	0	0	0	229	0	0		0		
171656	0	8793					1499	0	37618					8000	0	0			0	11730	0	0										0		
171759	0	1951					3047	0	37860					11025	0	0			0	17650	0	0										0		
171768	0	0					4399	0	165484					73160	0	0			0	54644	0	0										0		
172251	0	3021					105	0	3021					0	0	0			0	0	0	0										0		
172457	0	0					1098	500	5599					5000	0	0			0	835	0	0										0		
172475	0	0					2493	50131	498					19532	0	0			160	0	0	0										0		
172859	1000	5603					634	12606	28191					13976	0	0			9177	5013	0	0										63		
173306	0	0					571	0	153205					1735	0	0			0	38096	0	0										0		
173557	0	0					242	1933	50314					0	0	0			1547	0	0	0										0		
173575	0	42573					1983	29615	257971					27645	0	0			29615	0	0	0										26214		
173641	0	11487					432	0	76726					0	0	0			0	17309	0	0										0		
173959	0	0					401	0	54430					0	0	0			0	23145	0	0										0		
