"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1545	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDJ451	RCFDJ454	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCFDPV05	RCFDPV06	RCFDPV07	RCFDPV08	RCFDPV09	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RCONPV05	RCONPV06	RCONPV07	RCONPV08	RCONPV09	RIADG377	
27070																																																																				0	6586	99001		1400			42929	9676		11569	729717	-7	0	0	252828	8478	129722	76206	4719	8561	33498	45033	132893	27646	141727	48818	107719	138451	36399	3078				0	0			1145	39889	85616	158210			0			0	69														176527	0	0	0	706		0	29	0	689	0	0	0	0	0			0	0	0	0	0	11665	706	0	CONF	CONF	0	0	0							
27614																																																																				0	819	11582		0			4598	23409		22625	274791	0	8057	4047	141024	9796	22429	3328	3209	2531	6150	11324	71649	45807	32617	4900	21506	33770	28991	11935				0	685			2592	1535	31285	14013			0			144	76														0	0	0	0	344		0	140	0	1635	0	0	0	0	5			0	0	0	0	0	996	195	0	CONF	CONF	0	0	0							
27847																																																																				0	244028	34783		12001			50823	2934		5622	735983	0	353	0	161969	6450	132397	152213	7713	21994	57151	41596	13837	18224	43127	79379	158855	196462	69191	26055				0	0			6731	45616	124665	26330			0			1497	452														320569	0	0	0	8831		0	267	0	3791	0	2219	0	1583	1269			2224	2205	9	0	10	9620	39	0	CONF	CONF	0	0	0							
28013																																																																				0	0	2361365	0	0	170929	0	170929	107766		0	3856773	0	0	0	192782	64872	68004	101036	3710	16168	27647	25138	27447	92672	336252	430887	1315100	1316294	207824	42419	0	0	0	0	0	0		2543	41980	403755	509372	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014346				4782	0	0	0	0	0	0	0	0	1728	0	3054	0	0	0	0	0	0	1409	3054	403	CONF	CONF	0	0	0						0	
28152																																																																				0	27978	11076		17303			17672	1579		1552	158847	0	0	0	47101	5208	3898	31924	1685	3378	8759	11197	20102	1843	24043	10539	22254	29465	15259	8117				0	86			1895	18	13135	4739			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		44023				0		0	49	0	5455	0	0	0	0	0			0	0	0	0	0	4001	0	0	CONF	CONF	0	0	0							
28675																																																																				0	27457	4274		7271			10834	8424		2317	173133	0	0	0	70101	5884	0	30814	2446	6648	18044	36432	6023	507	8304	16085	24955	40282	9456	3313				0	2			3728	9866	14557	5443			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		77960				6		0	47	0	978	0	6	0	0	0			0	0		0	0	1950	0	0	CONF	CONF	0	0	0							
28732																																																																				0	1471	309		530			8258	6093		0	114263	0	0	0	43338	611	0	51218	2181	10228	8694	13653	8583	0	19605	19205	13879	15030	943	2245				0	22			15100	5097	10335	17221			0			0	0													0	43338	0	0	0	0		0	87	0	2807	0	0	0	0	0			0	0		0	0	2984	0	0	CONF	CONF	0	0	0						0	
29476																																																																				0	44966	221		20838			9649	0		0	125776	0	0	0	12865	468	1422	62908	1661	2926	3280	4243	758	0	19192	39129	19035	20933	8892	4797				0	0			1901	18184	9951	5395			0			0	0													0	53797	0	0	0	0		0	0	0	583	0	0	0	0	0			0	0	0	0	0	755	0	0	CONF	CONF	0	0	0						0	
29636																																																																				0	17079	46980		680			77724	24700		10530	842362	0	0	0	123969	2593	10455	176197	14182	13284	26021	36260	9664	23644	376165	75284	145545	99019	18274	1276				4272	0			24799	64251	123443	302179			0			0	0													0	360335	0	0	0	1849		0	2675	0	3250	0	0	0	0	1849			0	0	0	0	0	13238	0	0	CONF	CONF	0	0	0						0	
29878																																																																				0	0	433363		0			0	3312		0	1955507	0	0	0	873605	975	147	78757	379	629	5349	8544	156555	687341	58611	70059	259750	273724	407327	492				0	0			2244	35544	2496	603939			0			19732	6269														705484	0	0	0	21240		0	0	0	0	0	0	0	16	1492			0	0	0	0	0	29	0	0	CONF	CONF	0	0	0							
