rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
518176,14371.0,14371000.0,RAYNE BUILDING & LOAN ASSOCIATION
657954,14363.0,14363000.0,"TRI-COUNTY BANK, THE"
458946,14362.0,14362000.0,BANK OF CASHTON
937553,14351.0,14351000.0,BANK OF MONTICELLO
774235,14338.0,14338000.0,"CITIZENS NATIONAL BANK OF QUITMAN, THE"
223452,14333.0,14333000.0,PEOPLES BANK OF WYACONDA
3120897,14328.0,14328000.0,HERITAGE BANK
856869,14309.0,14309000.0,POWELL STATE BANK
397858,14290.0,14290000.0,SPIRO STATE BANK
617275,14283.0,14283000.0,HOLLADAY BANK AND TRUST
5784921,14223.0,14223000.0,GS&L MUNICIPAL BANK
739346,14223.0,14223000.0,ATKINS SAVINGS BANK & TRUST
142049,14221.0,14221000.0,BANK 1ST
667346,14209.0,14209000.0,PHILO EXCHANGE BANK
13457,14167.0,14167000.0,LEGENDS WEST BANK
446149,14161.0,14161000.0,"PEOPLES BANK, THE"
548052,14155.0,14155000.0,RNB STATE BANK
465524,14142.0,14142000.0,BANK OF GREELEYVILLE
2598396,14134.0,14134000.0,PRAIRIE COMMUNITY BANK
120953,14115.0,14115000.0,FARMERS STATE BANK
3939240,14097.0,14097000.0,"EVERCORE TRUST COMPANY, NATIONAL ASSOCIATION"
131940,14072.0,14072000.0,WALDO STATE BANK
805045,14066.0,14066000.0,EXCHANGE STATE BANK
765354,14037.0,14037000.0,BANK OF CROCKER
1003455,14024.0,14024000.0,ASTRA BANK
729057,14019.0,14019000.0,PINE RIVER STATE BANK
1293078,13989.0,13989000.0,PEOPLES BANK
2960555,13908.0,13908000.0,AMERICAN HERITAGE BANK
98351,13894.0,13894000.0,"CITIZENS STATE BANK OF OURAY, THE"
484057,13887.0,13887000.0,MARION STATE BANK
864855,13880.0,13880000.0,"FIRST STATE BANK OF HEALY, THE"
504647,13858.0,13858000.0,"INTERNATIONAL BANK OF AMHERST, THE"
691743,13849.0,13849000.0,ANNA STATE BANK
55653,13846.0,13846000.0,FIDELITY STATE BANK AND TRUST COMPANY
5805228,13838.0,13838000.0,ICON BUSINESS BANK
258874,13808.0,13808000.0,"WORTHINGTON FEDERAL SAVINGS BANK, F.S.B."
399731,13805.0,13805000.0,BANK OF ERATH
700430,13796.0,13796000.0,"COMMERCIAL BANK, THE"
675042,13763.0,13763000.0,COMMUNITY BANK
1163283,13752.0,13752000.0,"CITIZENS BANK AND TRUST, INC."
699253,13734.0,13734000.0,"CITIZENS BANK OF EDINA, THE"
840251,13733.0,13733000.0,HOME BANK AND TRUST COMPANY
575348,13731.0,13731000.0,"FARMERS NATIONAL BANK OF LEBANON, THE"
628039,13717.0,13717000.0,BANK OF HAZLEHURST
420877,13703.0,13703000.0,FIRST FIDELITY BANK
968155,13688.0,13688000.0,"FIRST NATIONAL BANK, CORTEZ"
750444,13685.0,13685000.0,TWIN CEDARS BANK
854753,13685.0,13685000.0,SAINT CLAIR STATE BANK (INCORPORATED)
2621285,13678.0,13678000.0,MILLENNIAL BANK
233442,13670.0,13670000.0,"IUKA STATE BANK, THE"
249658,13659.0,13659000.0,ROCKY MOUNTAIN BANK AND TRUST
723158,13655.0,13655000.0,STATE BANK OF FAIRMONT
938354,13642.0,13642000.0,"FIRST NATIONAL BANK OF FAIRFAX, THE"
760340,13631.0,13631000.0,NATIONAL BANK OF ST. ANNE
659640,13628.0,13628000.0,GENESIS BANK
490348,13621.0,13621000.0,"STATE BANK OF TOLEDO, THE"
705378,13607.0,13607000.0,"DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION"
367150,13598.0,13598000.0,COMMUNITY STATE BANK
898458,13508.0,13508000.0,BANK OF JACKSON HOLE TRUST
481579,13502.0,13502000.0,CUSTER FEDERAL STATE BANK
233246,13490.0,13490000.0,FIRST COMMUNITY BANK
164957,13478.0,13478000.0,CONCORDIA BANK
135854,13463.0,13463000.0,HEARTLAND STATE BANK
