"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
45775				false			false			false	false		false		false		false			false								
46053	1615	0		true	0	0	false			false	false		true	53906	true	115252	false			false								
46941				false			false			false	false		false		false		false			false								
47247	316222	7264						423551	63522																	0	0	
47500	1000	0		true	0	0	false			false	false		true	32256	true	32445	false			false								
48374				false			true	19401	2822	false	false		false		true	1140501	false			false								
48440	1038	0		true	0	0	false			false	false		true	81676	true	103198	false			false								
49054				false			false			false	false		false		true	10866	false			false								
49148				false			false			false	false		false		false		false			false								
49241	20000	0		true	0	0	false			true	false		false		false		false			false	0	151				0	0	
49652				false			false			false	false		false		true	15615	false			false								
49858				false			false			false	false		false		false		false			false								
49951				false			false			false	false		false		false		false			false								
50461	0	0																										
51253	0	0																										
51356	0	0																										
51459				false			false			true	false		false		false		false			false	4046	0				268	0	
51842	0	0																										
52719	1000000	0						0	0																			
52951				false			false			false	false		false		false		false			false								
53051				false			false			false	false		false		false		false			false								
54058	0	0																										
54973	6633	0						13278	0																			
55336				false			false			false	false		false		false		false			false								
55635				false			false			false	false		false		false		false			false								
55970				false			false			false	false		false		true	117899	false			false								
56258				false			false			false	false		false		false		false			false								
56351	0	0																								-17804	0	
56548	3896	0		true	0	0	false			false	false		false		true	178475	false			false								
56717	5432	0		true	0	0	false			false	false		true	30898	true	123762	false			false								
57451				false			false			false	false		false		true	115948	false			false								
58225				false			false			false	false		false		false		false			false								
58243	2807665	0						139463	32041																			
58355	214	0		true	0	0	false			false	false		false		false		false			false								
58551				false			false			false	false		false		false		false			false								
58636				false			false			false	false		false		false		false			false								
58757				false			false			false	false		false		false		false			false								
58971	117219	0						61298	15375																			
59316	8666	0		true	0	0	false			false	false		false		true	71468	false			false								
59352				false			false			false	false		false		false		false			false								
59370				false			false			false	false		false		false		false			false								
59754	3000	0		true	0	0	false			false	false		false		false		false			false								
60330	52509	0						0	0																			
60545				false			false			false	false		false		false		false			false								
60554				false			false			false	false		false		false		false			false								
60648				false			false			false	false		false		true	46178	false			false								
61122	0	0						0	0																			
61355	19636	0		true	0	0	true	26021	2622	false	false		false		true	879922	false			false								
61757	0	0																										
61832				false			false			false	false		false		false		false			false								
61953				false			false			false	false		false		false		false			false								
62044				false			false			false	false		false		true	401	false			false								
62110				false			false			false	false		false		false		false			false								
62147				false			false			false	false		true	41	true	37384	false			false								
63050				false			false			false	false		false		false		false			false								
63069																										-312	0	
63201				false			false			false	false		false		false		false			false								
63573				false			false			false	false		false		false		false			false								
63733	0	0						8162	1447																			
64552	0	0						11682	2088																			
64730				false			false			false	false		false		false		false			false								
65205	25200	0		true	0	42477	false			false	false		true	90	true	42187	false			false								
65559	0	0						9346	346																			
65858	62000	0		true	0	0	false			false	false		true	247	false		false			false								
66154				false			false			false	false		false		false		false			false								
66275				false			false			false	false		false		false		false			false								
67142				false			false			false	false		false		true	7959	false			false								
67151	202432	0		true	0	0	false			false	false		false		false		false			false								
67209	215000	210783		true	0	68556	false			true	false		true	51057	true	163221	false			false	1104	0				-72	0	
67254				false			false			false	false		false		false		false			false								
67656	0	0																										
68671	77	0		true	0	0	false			false	false		false		false		false			false								
68756	97000	0																										
68831				false			false			false	false		false		false		false			false								
69333	0	0						8891	0																			
69678				false			false			true	false		false		true	70093	false			false	142	0				-13	0	
70218	0	0						0	0																			
70638				false			true	0	2901	false	false		true	1179	false		false			false								
70955				false			false			false	false		false		false		false			false								
71073				false			true	43268	15953	false	false		false		false		false			false								
71457	14725	0		true	0	0	false			false	false		true	67928	true	5027	false			false								
71859				false			false			false	false		false		false		false			false								
72258				false			false			false	false		false		false		false			false								
72351				false			false			false	false		false		false		false			false								
72454				false			false			false	false		false		false		false			false								
72678				false			false			false	false		false		false		false			false								
73116				false			false			false	false		false		true	12686	false			false								
73152				false			false			false	false		false		false		false			false								
73554	20000	0		true	0	0	false			false	true	19529	true	158	true	19687	false			false								
73956				false			false			false	false		false		false		false			false								
74056				false			false			false	false		false		false		false			false								
74140	12698	0						1638	360																			
74403	18224	0						2977	1803																			
74449				false			false			false	false		false		false		false			false								
75259				false			false			false	false		false		true	162690	false			false								
75446	855	0		true	0	0	false			false	false		true	26452	true	44627	false			false								
75455				false			false			false	false		false		false		false			false								
75633								119765	44780														0	0	0	0	13813	
75651				false			false			false	false		true	5738	false		false			false								
76153	0	0						0	0																			
76443				false			false			false	false		false		true	45529	false			false								
76854				false			false			false	false		false		false		false			false								
77150	0	0																										
77253				false			false			false	false		false		false		false			false								
77422				false			false			false	false		false		false		false			false								
77851	43778	0						37189	7680																			
78157				false			false			false	false		false		false		false			false								
78241				false			false			false	false		false		false		false			false								
78559				false			false			false	false		false		false		false			false								
79042	0	0																										
79127				false			false			false	false		false		false		false			false								
79145	326	0		true	0	0	false			false	false		true	23203	true	170548	false			false								
79257				false			false			false	false		false		false		false			false								
79855	10745	0		true	0	0	false			false	false		false		false		false			false								
80150				false			false			false	false		false		false		false			false								
80374				false			false			false	false		false		true	3895	false			false								
80431				false			false			false	false		false		false		false			false								
81175	4316	0		true	0	0	false			false	false		true	32944	true	150450	false			false								
82033				false			false			false	false		false		false		false			false								
82257				false			false			false	false		false		false		false			false								
82350				false			false			false	false		false		false		false			false								
83375				false			false			false	false		false		false		false			false								
83638								4285	895																	0	0	
83834				false			false			false	false		false		false		false			false								
83852				false			false			false	false		false		false		false			false								
83955				false			false			false	false		false		false		false			false								
84541	4076	0		true	0	0	true	20950	2810	false	false		false		false		false			false								
85052				false			false			false	false		false		false		false			false								
85472	3753935	0						2704	0																			
85931				false			false			false	false		false		false		false			false								
86349				false			false			false	false		false		false		false			false								
86675				false			false			false	false		false		false		false			false								
87047				false			false			false	false		false		false		false			false								
87234	4268	16250		true	0	0	true	32678	9843	false	false		false		false		false			false								
87476				false			false			false	false		false		true	71658	false			false								
87579	0	0																										
88231	166936	0		true	0	0	true	172971	39575	true	false		false		true	1006416	false			false	39724	15				-400	-4	
88259				false			false			false	false		false		true	12176	false			false								
88352	0	0																										
88455				false			false			false	false		true	1723	false		false			false								
89032				false			false			false	false		false		true	41	false			false								
89135				false			false			false	false		false		false		false			false								
89854				false			false			false	false		false		false		false			false								
89957				false			false			false	false		false		false		false			false								
90047				false			false			false	false		false		false		false			false								
90177				false			false			false	false		true	17059	true	17059	false			false								
90328				false			false			false	false		false		false		false			false								
90337				false			false			false	false		false		false		false			false								
90579				false			false			false	false		false		false		false			false								
91615				false			false			false	false		false		false		false			false								
91950				false			false			false	false		false		false		false			false								
92144				false			false			false	false		false		false		false			false								
92676	0	0																										
92706				false			false			false	false		true	6518	true	18521	false			false								
92902				false			false			false	false		false		false		false			false								
93244	1515	0		true	0	0	false			false	false		true	71475	true	123816	false			false								
93543	41744	0		true	0	0	false			false	false		false		true	245948	false			false								
93619																												
94139				false			false			false	false		false		false		false			false								
94522				false			true	2623	260	true	false		false		false		false			false	9625	0				-181	0	
94755				false			false			false	false		false		false		false			false								
94858				false			false			false	false		false		false		false			false								
95051	6723	0																										
95677				false			false			false	false		true	5482	true	2085	false			false								
96553				false			false			false	false		false		true	38513	false			false								
97055				false			false			false	false		false		false		false			false								
97279				false			false			false	false		false		false		false			false								
97457				false			false			false	false		false		false		false			false								
97804	35000	0		true	0	0	false			true	false		true	1243	true	75110	false			false	5094	5094				94	94	
97943	4884	0		true	0	0	false			false	false		true	4121	false		false			false								
98351				false			false			false	false		false		false		false			false								
98463				false			false			false	false		false		false		false			false								
98717	0	0																										
99143	4372	0		true	0	0	false			false	false		false		false		false			false								
99376	1090725	0						6663	8687																	224	0	
99442				false			false			false	false		false		false		false			false								
99536				false			false			false	false		false		false		false			false								
99853				false			false			false	false		false		false		false			false								
100236				false			false			false	false		false		false		false			false								
100357				false			false			false	false		false		false		false			false								
100562	0	0						14890	4186																			
100777	2500	0		true	0	0	true	18260	3059	false	false		false		true	1111	false			false								
100843	1	0		true	0	0	false			false	false		true	1392	true	4953	false			false								
101037				false			false			false	false		false		false		false			false								
101439				false			false			false	false		false		false		false			false								
101671	0	0																										
101738				false			false			false	false		false		false		false			false								
101952				false			false			false	false		false		false		false			false								
102333				false			false			false	false		false		false		false			false								
102342	356	0		true	0	0	false			false	false		true	32791	true	32971	false			false								
102557				false			false			false	false		false		false		false			false								
102874	0	0																										
103134				false			false			false	false		false		false		false			false								
