"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
3296859														2008		1026	0					241	584	157							
3297490														7990		4108	0					1633	1795	454							
3303298	3702897	0	2963690	0	0	1084096	0	0	419932	226961	0	0	1056792									92314						CRA Related Deferred Payments			
3303944														2735		2010	0					195	440	90							
3306280														10212		2551	0					1440	3914	2307							
3306598														2008		74	0					1400	534	0							
3308529														1775		1214	0					320	75	166							
3308574														1194		767	0					120	292	15							
3309393														956		4	0					326	626	0							
3309571														3018		225	0					1029	1427	337	173						
3310287														5066		1573	0					0	3493	0							
3314043														4376		2547	0					429	1300	100							
3314119														483		0	0					82	401	0							
3316739														1153		31	0					345	694	83							
3317192														1291		11	0					344	913	23							
3317932														68844		34015	0					4667	27260	2902			30560				
3320781														6005		2388	0					590	2371	656							
3322468														765		1	0					68	656	40							
3325759														87080		67407	0		2864			3628	15175	870			60832	Residential RE Escrow Reserve			
3337097														31357		12685	0					14129	4189	354							
3340725														7386		3210	0					1253	2899	24							
3340903														348		59	0					76	94	119							
3341393														2404		2234	0					146	24	0							
3342671														3481		2015	0					329	1137	0							
3344321														17817		7857	0	291				1274	8437	249			7075				
3346633														1273		462	0					21	790	0							
3347603														1579		2	0					519	1050	8							
3347911														3583		2211	0					211	1161	0							
3348468														3878		1929	0					353	1096	500							
3348888														169529		147839	0			65933		8014	13029	647				Lease Obligation	TAX CREDIT CONTRIBUTIONS		
3349241														7357		4326	0					765	2239	27							
3350658														6289		4035	0					1276	607	371							
3350724														33604		22345	0		21206			2610	7246	1403		143		ROU Liability			
3353154														39	0	33	0	0	0	0	0	0	6	0	0	0	0				
3354599														18528		14835	0					1878	1408	407							
3356191														21568		14561	0					5281	1726	0							
3357077														987		494	0					390	24	79							
3357219														38606		16665	0					14205	7452	284							
3357385														12389		7836	0					861	3162	530			7836				
3357620														729	0	4	0	0	0	0	0	0	725	0	0	0	0				
3358270														1512		403	0					403	606	100			403				
3368635														3028		1716	0					315	997	0			1471				
3368925														2414		410	0					605	1385	14							
3370133														4378		3301	0					265	668	144							
3370357														4810		4342	0					17	411	40			4293				
3374234														1710		177	0					1142	391	0							
3374382														10443		4863	0					490	4243	847							
3374403														2941		0	0					826	1857	258							
3374412														40472		28126	0					5068	5781	1497							
3377235														3522		1432	0					1079	970	41							
3378773														52078		41626	0		19963	11380		2716	3876	3860				Swap/Cap Collateral	Commitment to Fund Tax Credits		
3384952														4763		1406	0					574	2693	90							
3385744														4597		3633	0					690	25	249							
3386264														28191		21592	0					1120	5149	330							
3386536														9429		7261	0	1473				1142	0	1026	2417		2393				
3387140														919		14	0					492	396	17							
3388482														10730		7471	0					532	1753	974							
3390337														1418		220	0					67	961	170							
3391718														14438		9614	0					2172	2565	87							
3393851														1832		230	0					1225	377	0							
3394278														442485		124605	0		34183			50678	243447	23755				Low Income Housing			
3394380														1161		706	0					179	219	57							
3397233														10739		1632	0					2282	6695	130							
3398623														15572		9874	0					986	3467	1245							
3401970														27783		16024	0	1133				3218	7852	689	2662		12227				
3402913	47866	0	6880	0	34	0	366	0	33613	4233	0	0	6246									3140							Prepaid Loan Fees		
3404207														17328		6277	0		4550			2239	5754	3058				Commitments to Fund Low Income Housing Tax Credit			
3404373														6648		2308	0					1010	2703	627							
3404467														8491		4895	0					674	1775	1147							
3404506														12171		5422	0					1202	4992	555							
3404999														4949		3317	0					409	1127	96							
3407084														8898		3841	0					3256	1650	151							
3408728														101017	30000	76834	0	0	0	0	0	2746	16337	5100	0	0	25511				
3410141														8817		7046	0					866	829	76							
3411773														1656		312	0					685	629	30							
3412417														4763		3177	0					16	1335	235							
3419416														12509		5498	0					1488	4322	1201			4542				
3428258														17617		11269	0					190	5991	167							
3429219														5704		414	0					1589	3659	42							
3435948														58793		26558	1031					2768	28277	159							
3437148														8085		264	0					687	6937	197							
3437157														21196		11169	0	250	6812			1631	8396	0	4055			Lease Obligations			
3437456														48726		29194	0	8642	150			8029	11158	345			14516	MORTGAGE LOAN SALE RECOURSE LIABILITY			
3437483														11112		2401	0					539	7331	841							
3438958														972		580	0					261	47	84							
3440803														4454		2150	0					420	1534	350							
3445901														2605		835	0					338	1157	275							
3446225														1805		436	0					684	547	138							
3446784														3679		1878	0					1270	481	50							
3447576														32098		23007	0					330	7594	1167							
3447820														16835		2511	0					16	13808	500							
3448162														821		1	0					425	268	127							
3448425														422		0	0					55	330	37							
3449066														36831		25919	0					3658	6922	332	5481	11374	8747				
3451050														3823		1678	0					219	1401	525							
3455227														14360		10977	0					457	2882	44							
3459207														5781		1274	0					1448	2114	945							
3459216														1794		647	0					715	432	0							
