"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
356239																														5708	80	0	4146	400	1280		80	0	0	0	0	5828	2	400			0	0	0	1280	0	0	0	0	0	0	0	0				1162						0	0	0	0	0	0																					http://www.csbnow.com	
356659																														0	132	0	0	0	1000		0	0	132	0	0	0	0	0			0	0	1000	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																						
356752																														0	0	0	0	0	0		0	0	0	0	0	10039	1	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.micsb.com	
357526																														0	716	0	0	0	36717		716	0	0	0	0	312	0	0			0	0	15429	7856	13432	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					www.davistrust.com	
357553																														0	0	2000	0	0	5000		0	0	0	0	0	161	0	0			0	2000	0	3000	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					www.fpnb.bank	
357777																														0	23	9503	0	0	37503		0	0	23	0	0	73	0	0			0	9503	28000	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.greenvillesavings.com	
357937																														0	670	0	0	0	1439		171	0	0	0	499	1552	1	0			1439	0	0	0	0	0	1439	0	0	0	0	0				0						0	0	0	0	0	0																					www.citizensbankandtrust.com	
358112																														3268	6	0	3268	0	0		0	0	6	0	0	3106	1	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					http://www.commercialbankky.bank	
358448																														0	0	0	0	0	0		0	0	0	0	0	1789	1	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.mayvillestatebank.com	
359472																														0	0	0	0	0	0		0	0	0	0	0	726	0	0			0	0	0	0	0	0	0	0	0	0	0	0			150	0				1	true	0	0	0	0	0	0																					www.homewoodfsb.com	
359744																														945	0	0	945	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.whitestatebank.com	
360777																														0	0	0	0	0	0		0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0					0	0	0	0	0	0																					www.jacksonsavingsbank.com	
361055																														88	0	0	0	88	0		0	0	0	0	0	25691	2	88			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0					www.corefirstbank.com																www.cbtks.com	
361167																														201219	128	315000	198931	1408	580943		0	0	128	0	0	8092	6	1408	true	0	265000	315000	943	0	0	0	265000	0	0	0	0	265000	true	true	6000	880	0					0	0	0	0	0	0																					www.southside.com	
361279																														435	0	11000	435	0	16000		0	0	0	0	0	95	0	0			0	11000	0	0	5000	5000	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.community-bank.net	
361354																														5	0	0	5	0	0		0	0	0	0	0	40	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					https://www.grantcobank.com	
361439																														0	0	0	0	0	0		0	0	0	0	0	508	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true		0	0					0	0	0	0	0	0																					www.andrewjohnsonbank.com	
