"IDRSSD"	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ459	RCONPV10	RCONPV11	RCONPV12	RCONPV13	RCONPV14	RCONPV15	RCONPV16	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CRD DERIVTS:NOTL AMTS-CRD OPTIONS-GU	CRD DERIVTS:NOTL AMTS-CRDIT OPTIONS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT ALL OTHR	Loans to depository financial instit	Loans to nondepository financial ins	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity fund	Loans to consumer credit intermediar	Other loans to nondepository financi	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
40855								494	655																																	929	2944	0	0													
41553								140	1764																																	1344	2721	0	0													
41629								1086	12952																																	5938	1662	0	6419													
41825	0	0	0	0	0	0	0	14118	19508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																106084	1174	0	0													
42037								100	0																																	438	737	0	0													
42354								2780	12419																																	6020	3116	0	0													
42372								18083	2701																																	1798	7195	0	0													
42420	0	0	0	0	173676	168683	7575	58315	432210	0	0	173676	0	168683	0	0	0	47365	121178	5133	0	0	0	17408	147740	3535	6088	20246	0	0	0	0	0	0	0	1141178	0	1141178				759610	137444	0	0	0	0	0	0	0								
42448								52357	61667																																	33247	82050	0	0									POTENTIAL RECOURSE ON SOLD LOANS				
42457								0	1228																																	541	9204	0	0													
43052								583	0																																	22384	1423	0	0													
43351								10561	10908																																	8312	12353	0	0								0					
43856								113	0																																	1414	160	0	0													
43959								6630	8313																																	3503	1551	0	0													
44040								906	558																																	5406	29192	0	0													
44433	0	0	0	0	0	0	0	58965	39431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7083	0	0	0													
44741								16949	17725																																	8187	3493	0	0													
44750								5528	8288																																	137	24	0	0													
44929	0	0	0	0	0	0	0	0	3003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4166	1758	0	0													
45056								926	105																																	4169	8067	0	0													
45458								1238	6936																																	9482	17628	0	0													
45551								0	50891																																	0	215223	0	0													
45560	0	0	0	0	0	0	0	37321	146528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																195658	45262	0	0													
45775								1072	0																																	1049	6270	0	0													
46053								306	7384																																	7369	8037	0	0													
46941								634	8656																																	2081	13694	0	0													
47247	0	0	0	0	0	0	0	85454	4202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																27074	5620	0	0													
47500								2475	19199																																	6536	9305	0	0													
48374								2786	67250																																	26251	69312	0	0													
48440								3207	1130																																	7069	9483	0	0									FHLB Pool (8026)	FHLB New (14578)	FHLB (17742)	FHLB (18555)	
49054								70	3993																																	2848	1751	0	0													
49148								50	22																																	4729	3200	0	0													
49241								4887	90673																																	97955	40626	0	0													
49652								0	7217																																	4237	7152	0	0													
49858								27764	3352																																	1678	0	0	0													
49951								316	17640																																	26921	6612	0	0						Federal Home Loan Bank							
50461	0	0	0	0	0	0	0	4392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7908	50	0	0													
51253	0	0	0	0	0	0	0	2869	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2565	1704	0	0													
51356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	758	0	0													
51459								68	365																																	7296	33542	0	0													
51842	0	0	0	0	0	0	0	1090	39042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																42222	48931	0	0													
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	0	0													
52951								1376	5451																																	4085	3926	0	0						FHKB Letter of Credit							
53051								0	92																																	2254	1405	0	0													
54058	0	0	0	0	0	0	0	3110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	64893	0	0													
54973	0	0	0	0	0	0	0	28773	198070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																375976	85347	0	4397													
55336								5673	21097																																	15842	1759	0	0													
55635								977	1203																																	592	426	0	0													
55970								21903	9423																																	664	3558	0	0													
56258								660	7654																																	16143	10439	0	0													
