"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
44040																				1666	3304	15575		279				3923					0	6403	0	0				
44433																				6881	13303	34208	1376	6210	2978			7814	216				0	0	0	0	Security Deposits			
44741																				1459	1923	7642		993				3267					0	0	0	0				
44750																				2112	2476	11954		445				1202					0	3793	0	1926				
44929																				544	0	5095	340	341				737					0	1568	0	1905				
45056																				246	86	1823		192				1299					0	0	0	0				
45458																				3030	368	10067		668				2195					0	3634	172	0				
45551																				6084	6606	52779		8744				13078					0	15077	0	3190				
45560																				10176	0	76930	22443	27858				8537					0	26716	0	3643				
45775																				326	1631	7453		290				603					0	4603	0	0				
46053																				2845	0	11417		355				1397					0	6465	0	355				
46941																				486	0	7187		469				1248					0	2979	0	2005				
47247																				9702	0	52857	2324	12152	5887			4791	1068	68	533		0	26212	0	0	Lender Reserve Account			
47500																				3544	1115	25816		1528				1807					0	17822	0	0				
48374																				10900	0	84806		16106				26530					0	30112	0	1158				
48440																				1205	1142	8019		71				1006					0	4595	0	0				
49054																				1680	0	3499		313				1506					0	0	0	0				
49148																				284	91	3066		135				790					0	1766	0	0				
49241																				13310	6428	69855		5591				6969					0	29463	0	8094				
49652																				2004	145	9596		512				1581					0	5354	0	0				
49858																				169	151	5767		518				480					0	4449	0	0				
49951																				1155	0	8754		1287				3210					0	3102	0	0				
50461																				0	2599	2891		14				278					0	0	0	0				
51253																				6437	0	25898		5127	3795			7949					0	6385	0	0	Brokered Deposit Premium			
51356																				0	0	358	37	37				321					0	0	0	0				
51459																				4046	236	13071		186				3018					0	5585	0	0				
51842																				2650	2300	16178	202	3120	1968			3781					0	4327	0	0	FASB 115 Sed G (l) Def Tax			
52719																				6402	29605	111786		75779				0			68908		0	0	0	0				
52951																				3323	1067	8667		500				3777					0	0	0	0				
53051																				5	0	622		33				584					0	0	0	0				
54058																				1499	119	9834		341	214			7875					0	0	0	0	Accrued Income Tax Receivable			
54973																				107836	111155	500264	11976	37912	16491			30525					0	62147	150689	0	Pension Surplus			
55336																				1866	1771	10244		1412				2249					0	2946	0	0				
55635																				483	388	3258		1712				675					0	0	0	0				
55970																				370	1044	24647		1378				1999					0	15371	0	4485				
56258																				1330	0	7992		280				1774					0	4608	0	0				
56351																				11675	7622	121533	8585	19546	4282			13771					0	68919	0	0	Right of Use Asset			
56548																				6947	3117	24845		3477				2392					0	8912	0	0				
56717																				3699	8220	50720		4971				4900					0	24280	0	4650				
57451																				1675	3788	18677		1147				3051					0	9016	0	0				
58225																				618	1812	13871		1284				1674					0	7243	0	1240				
58243																				38465	12467	298368	8447	63428	4282			26098	40805	2207	6968		0	117717	40193	0	NMTC Receivable			
58355																				128	0	1505		36				279					0	1062	0	0				
58551																				118	0	10869		527				3037					0	6637	0	550				
58636																				889	3197	21109		1790				2525					0	5776	0	6932				
58757																				2038	1650	17152		224				3345					0	9895	0	0				
58971																				17720	51448	219091	11054	22206	5761			34944					0	92773	0	0	Accrued Receivables			
59316																				7181	19728	99870		7065				10815					0	41452	1448	12181				
59352																				387	51	11842		479				3038					0	7887	0	0				
59370																				348	1162	15890		1002				1019					0	12359	0	0				
